Time	Food	Creatures
0	1200	200
100	1210	208
200	1236	218
300	1275	236
400	1284	258
500	1293	279
600	1326	220
700	1345	231
800	1363	242
900	1359	246
1000	1378	244
1100	1387	229
1200	1388	254
1300	1389	273
1400	1395	289
1500	1424	285
1600	1428	291
1700	1420	318
1800	1424	328
1900	1413	312
2000	1389	329
2100	1404	351
2200	1395	371
2300	1382	376
2400	1356	388
2500	1338	387
2600	1301	399
2700	1296	407
2800	1267	400
2900	1241	410
3000	1222	417
3100	1205	422
3200	1198	415
3300	1182	423
3400	1179	423
3500	1184	421
3600	1161	428
3700	1138	426
3800	1099	422
3900	1073	425
4000	1047	432
4100	1020	442
4200	1014	430
4300	1019	412
4400	1017	389
4500	1036	368
4600	1013	350
4700	1034	335
4800	1048	316
4900	1043	298
5000	1041	295
5100	1042	294
5200	1049	295
5300	1056	284
5400	1066	280
5500	1092	285
5600	1093	273
5700	1112	265
5800	1128	260
5900	1141	274
6000	1149	277
6100	1148	266
6200	1175	268
6300	1192	269
6400	1191	268
6500	1197	253
6600	1219	265
6700	1222	260
6800	1241	255
6900	1245	255
7000	1263	262
7100	1277	266
7200	1283	260
7300	1310	258
7400	1352	265
7500	1364	259
7600	1385	254
7700	1392	255
7800	1413	249
7900	1415	259
8000	1425	266
8100	1446	259
8200	1455	258
8300	1443	279
8400	1440	290
8500	1434	312
8600	1446	317
8700	1429	331
8800	1423	347
8900	1410	351
9000	1397	350
9100	1384	361
9200	1364	375
9300	1361	359
9400	1358	369
9500	1321	389
9600	1312	395
9700	1278	391
9800	1278	384
9900	1270	383
10000	1278	390
10100	1271	390
10200	1241	395
10300	1229	399
10400	1196	416
10500	1190	423
10600	1163	412
10700	1137	430
10800	1143	425
10900	1134	423
11000	1126	416
11100	1128	394
11200	1146	377
11300	1138	354
11400	1148	339
11500	1156	345
11600	1138	334
11700	1175	329
11800	1203	324
11900	1204	335
12000	1216	336
12100	1199	318
12200	1197	314
12300	1223	320
12400	1216	319
12500	1214	320
12600	1239	312
12700	1252	312
12800	1242	317
12900	1241	313
13000	1246	308
13100	1251	309
13200	1263	303
13300	1259	316
13400	1238	325
13500	1234	322
13600	1237	318
13700	1228	320
13800	1250	309
13900	1266	296
14000	1299	280
14100	1310	284
14200	1310	283
14300	1301	284
14400	1314	273
14500	1336	277
14600	1346	291
14700	1367	294
14800	1366	310
14900	1332	307
15000	1323	314
15100	1342	317
15200	1360	316
15300	1405	315
15400	1389	309
15500	1382	316
15600	1362	327
15700	1344	341
15800	1322	348
15900	1321	349
16000	1327	355
16100	1301	352
16200	1301	357
16300	1261	357
16400	1240	380
16500	1235	397
16600	1239	390
16700	1223	409
16800	1208	419
16900	1213	425
17000	1210	412
17100	1196	418
17200	1146	430
17300	1137	427
17400	1117	424
17500	1090	425
17600	1061	420
17700	1060	417
17800	1062	403
17900	1087	394
18000	1072	380
18100	1086	370
18200	1086	350
18300	1062	326
18400	1065	320
18500	1085	306
