Time	Food	Creatures
100	204	12
200	212	13
300	220	15
400	225	17
500	238	17
600	247	17
700	252	18
800	265	17
900	276	13
1000	290	12
1100	299	8
1200	312	9
1300	330	7
1400	335	10
1500	347	10
1600	352	12
1700	363	13
1800	373	13
1900	387	13
2000	390	15
2100	394	15
2200	401	17
2300	410	14
2400	419	16
2500	426	15
2600	433	16
2700	449	15
2800	458	17
2900	460	19
3000	468	17
3100	473	22
3200	478	26
3300	486	28
3400	497	29
3500	497	28
3600	490	37
3700	493	40
3800	488	41
3900	493	43
4000	488	52
4100	493	54
4200	482	57
4300	470	64
4400	471	72
4500	461	78
4600	451	89
4700	441	95
4800	419	102
4900	402	111
5000	380	120
5100	359	126
5200	339	134
5300	317	142
5400	289	148
5500	267	147
5600	255	153
5700	243	150
5800	220	153
5900	212	151
6000	204	143
6100	197	135
6200	189	128
6300	189	112
6400	190	101
6500	181	98
6600	175	90
6700	181	86
6800	183	72
6900	184	66
7000	188	58
7100	189	51
7200	195	46
7300	202	42
7400	206	41
7500	208	33
7600	218	29
7700	223	23
7800	225	22
7900	228	24
8000	237	24
8100	242	23
8200	249	22
8300	255	21
8400	265	19
8500	269	20
8600	275	19
8700	288	17
8800	301	16
8900	312	15
9000	319	11
9100	331	8
9200	339	8
9300	350	9
9400	354	11
9500	359	10
9600	367	10
9700	371	11
9800	385	11
9900	390	11
10000	392	12
10100	401	14
10200	415	15
10300	419	16
10400	422	20
10500	426	25
10600	436	28
10700	442	31
10800	446	31
10900	451	31
11000	460	33
11100	465	31
11200	466	31
11300	464	35
11400	471	33
11500	479	35
11600	485	36
11700	482	42
11800	481	43
11900	482	42
12000	474	59
12100	479	58
12200	476	61
12300	463	69
12400	447	76
12500	437	77
12600	421	82
12700	415	88
12800	403	92
12900	387	98
13000	378	100
13100	366	107
13200	352	118
13300	333	125
13400	329	128
13500	307	131
13600	291	133
13700	274	134
13800	258	142
13900	244	139
14000	229	137
14100	217	129
14200	201	129
14300	194	116
14400	189	115
14500	179	106
14600	185	98
14700	184	80
14800	181	80
14900	180	84
15000	181	77
15100	170	81
15200	170	79
15300	181	68
15400	182	67
15500	184	56
15600	195	51
15700	206	48
15800	207	36
15900	215	33
16000	219	34
16100	230	28
16200	229	27
16300	229	24
16400	233	26
16500	242	26
16600	245	26
16700	249	21
16800	263	19
16900	271	19
17000	282	18
17100	296	17
17200	308	16
17300	315	15
17400	321	15
17500	322	17
