Time	Food	Creatures
100	1228	204
200	1264	205
300	1309	213
400	1339	220
500	1389	223
600	1449	119
700	1518	121
800	1551	124
900	1611	121
1000	1679	116
1100	1719	70
1200	1770	72
1300	1831	71
1400	1883	64
1500	1959	59
1600	2019	54
1700	2105	52
1800	2137	46
1900	2200	43
2000	2267	36
2100	2333	32
2200	2393	34
2300	2454	35
2400	2534	32
2500	2612	35
2600	2679	34
2700	2753	33
2800	2810	33
2900	2882	33
3000	2934	34
3100	2993	37
3200	3055	34
3300	3128	32
3400	3199	31
3500	3240	28
3600	3277	29
3700	3348	32
3800	3409	38
3900	3444	45
4000	3496	47
4100	3538	49
4200	3575	55
4300	3624	57
4400	3668	61
4500	3717	70
4600	3747	68
4700	3809	70
4800	3847	71
4900	3889	76
5000	3930	79
5100	4004	85
5200	4044	92
5300	4084	101
5400	4118	108
5500	4147	116
5600	4170	119
5700	4191	135
5800	4234	141
5900	4232	162
6000	4240	180
6100	4258	190
6200	4306	202
6300	4302	217
6400	4313	224
6500	4313	249
6600	4325	267
6700	4328	280
6800	4315	317
6900	4291	335
7000	4278	361
7100	4259	368
7200	4214	385
7300	4166	419
7400	4114	448
7500	4069	464
7600	4000	488
7700	3966	501
7800	3891	539
7900	3824	565
8000	3774	591
8100	3708	614
8200	3618	640
8300	3521	664
8400	3425	691
8500	3338	721
8600	3262	737
8700	3143	755
8800	3036	776
8900	2932	798
9000	2820	826
9100	2724	825
9200	2647	820
9300	2566	824
9400	2485	804
9500	2406	769
9600	2369	732
9700	2282	735
9800	2226	698
9900	2158	683
10000	2094	680
10100	1995	681
10200	1958	683
10300	1910	664
10400	1879	648
10500	1826	604
10600	1765	587
10700	1735	565
10800	1709	532
10900	1696	510
11000	1704	478
11100	1690	450
11200	1693	411
11300	1705	384
11400	1748	334
11500	1756	294
11600	1789	256
11700	1834	230
11800	1854	212
11900	1906	185
12000	1940	160
12100	1988	150
12200	2036	140
12300	2085	127
12400	2123	117
12500	2168	110
12600	2212	109
12700	2270	112
12800	2311	104
12900	2347	102
13000	2386	101
13100	2426	99
13200	2483	97
13300	2507	96
13400	2543	99
13500	2601	101
13600	2639	99
13700	2684	96
13800	2756	93
13900	2793	99
14000	2848	97
14100	2887	97
14200	2931	101
14300	2970	108
14400	2997	106
14500	3036	104
14600	3100	107
14700	3135	111
14800	3188	102
14900	3233	103
15000	3261	107
15100	3290	110
15200	3332	110
15300	3382	115
15400	3401	124
15500	3434	128
15600	3474	142
15700	3480	147
15800	3493	164
15900	3524	177
16000	3527	191
16100	3540	210
16200	3565	221
16300	3603	234
16400	3607	250
16500	3616	253
16600	3611	264
16700	3624	278
16800	3605	283
16900	3613	287
17000	3609	296
17100	3624	300
17200	3628	312
17300	3598	327
17400	3591	333
17500	3580	343
17600	3552	367
17700	3525	384
17800	3512	388
17900	3482	406
18000	3467	432
18100	3423	445
18200	3390	449
18300	3372	468
18400	3341	495
18500	3275	495
18600	3221	518
18700	3155	548
18800	3093	557
18900	3006	582
19000	2937	615
19100	2881	638
19200	2785	660
19300	2726	665
19400	2643	689
19500	2617	701
19600	2559	695
19700	2448	713
19800	2379	719
19900	2324	716
20000	2269	714
20100	2223	698
20200	2161	672
20300	2095	664
20400	2027	663
20500	1973	642
20600	1936	617
20700	1909	616
20800	1896	590
20900	1907	545
21000	1884	507
21100	1893	480
21200	1891	444
21300	1893	421
21400	1909	387
21500	1909	366
21600	1908	337
21700	1930	325
21800	1945	305
21900	1961	286
22000	1977	262
22100	2012	252
22200	2032	250
22300	2053	230
22400	2061	230
22500	2092	226
22600	2108	229
22700	2121	220
22800	2158	215
22900	2181	208
23000	2198	212
23100	2224	210
23200	2248	207
23300	2265	201
23400	2291	195
23500	2298	195
23600	2331	194
23700	2357	196
23800	2382	205
23900	2411	210
24000	2423	211
24100	2443	214
24200	2480	209
24300	2498	196
24400	2527	185
24500	2549	179
24600	2592	180
24700	2605	177
24800	2636	179
24900	2676	174
25000	2732	168
25100	2760	170
25200	2771	175
25300	2800	179
25400	2826	171
25500	2850	176
25600	2892	174
25700	2913	172
25800	2955	178
25900	2986	174
26000	3004	183
26100	3006	185
26200	3023	178
26300	3049	178
26400	3067	185
26500	3096	196
26600	3124	201
26700	3129	207
26800	3161	216
26900	3180	210
27000	3232	204
27100	3260	203
27200	3280	214
27300	3283	228
27400	3290	251
27500	3301	261
27600	3295	274
27700	3306	279
27800	3306	295
27900	3314	311
28000	3305	327
28100	3287	350
28200	3279	369
28300	3278	387
28400	3288	383
28500	3250	395
28600	3247	393
28700	3222	403
28800	3193	411
28900	3156	423
29000	3118	443
29100	3071	455
29200	3028	479
29300	2980	496
29400	2961	506
29500	2903	525
29600	2843	547
29700	2780	563
29800	2716	584
29900	2683	594
30000	2630	620
30100	2576	615
30200	2524	599
30300	2487	590
30400	2449	566
30500	2428	552
30600	2396	533
30700	2377	524
30800	2346	494
30900	2338	473
31000	2323	456
31100	2334	434
31200	2321	412
31300	2309	408
31400	2293	392
31500	2291	387
31600	2293	385
31700	2280	393
31800	2261	393
31900	2259	387
32000	2233	382
32100	2229	381
32200	2227	365
32300	2220	354
32400	2232	353
32500	2228	355
32600	2230	341
32700	2225	334
32800	2229	329
32900	2216	336
33000	2227	349
33100	2231	353
33200	2239	342
33300	2262	330
33400	2272	324
33500	2315	299
33600	2330	280
33700	2335	262
33800	2341	273
33900	2350	262
34000	2342	271
34100	2341	263
34200	2356	266
34300	2377	258
34400	2374	241
34500	2393	242
34600	2417	233
34700	2408	237
34800	2440	240
34900	2449	243
35000	2458	256
35100	2488	256
35200	2508	259
35300	2516	266
35400	2555	254
35500	2577	261
35600	2560	268
35700	2572	267
35800	2584	272
35900	2597	265
36000	2625	270
36100	2621	269
36200	2663	262
36300	2690	257
36400	2710	260
36500	2702	260
36600	2725	260
36700	2720	263
36800	2738	260
36900	2748	265
37000	2751	273
37100	2738	270
37200	2752	268
37300	2785	269
37400	2808	276
37500	2832	282
37600	2829	287
37700	2821	306
37800	2834	307
37900	2841	294
38000	2864	301
38100	2856	308
38200	2862	309
38300	2859	323
38400	2856	330
38500	2827	347
38600	2797	366
38700	2788	375
38800	2801	377
38900	2777	403
39000	2788	397
39100	2777	384
39200	2781	374
39300	2760	381
39400	2775	377
39500	2767	382
39600	2738	400
39700	2710	417
39800	2683	428
39900	2652	444
40000	2658	444
40100	2644	447
40200	2642	438
40300	2615	433
40400	2590	416
40500	2540	432
40600	2524	433
40700	2505	448
40800	2505	434
40900	2493	434
41000	2449	444
41100	2455	426
41200	2441	427
41300	2405	426
41400	2399	428
41500	2388	426
41600	2369	437
41700	2341	444
41800	2344	437
41900	2338	425
42000	2326	404
42100	2319	403
42200	2303	397
42300	2288	391
42400	2254	385
42500	2251	372
42600	2262	374
42700	2252	360
42800	2263	351
42900	2270	341
43000	2286	324
43100	2287	307
43200	2311	298
43300	2324	295
43400	2331	279
43500	2325	295
43600	2327	306
43700	2330	310
43800	2340	300
43900	2342	300
44000	2360	302
44100	2359	291
44200	2369	287
44300	2375	288
44400	2391	274
44500	2399	281
44600	2411	277
44700	2437	280
44800	2450	265
44900	2501	258
45000	2516	240
45100	2524	230
45200	2548	220
45300	2561	222
45400	2616	219
45500	2649	220
45600	2664	215
45700	2690	217
45800	2708	227
45900	2720	229
46000	2710	228
46100	2734	231
46200	2769	226
46300	2800	212
46400	2840	218
46500	2857	215
46600	2877	217
46700	2913	225
46800	2918	233
46900	2915	243
47000	2907	263
47100	2885	270
47200	2860	299
47300	2868	313
47400	2853	324
47500	2851	343
47600	2836	360
47700	2822	375
47800	2813	377
47900	2799	388
48000	2778	401
48100	2768	395
48200	2736	409
48300	2713	404
48400	2716	410
48500	2728	393
48600	2727	400
48700	2726	381
48800	2740	366
48900	2756	351
49000	2780	344
49100	2775	337
49200	2772	326
49300	2774	330
49400	2744	330
49500	2741	343
49600	2737	348
49700	2744	343
49800	2747	347
49900	2736	340
50000	2747	334
50100	2733	340
50200	2718	341
50300	2712	337
50400	2688	362
50500	2671	375
50600	2671	387
50700	2639	393
50800	2606	402
50900	2599	405
51000	2579	406
51100	2573	418
51200	2561	428
51300	2531	444
51400	2507	455
51500	2497	451
51600	2462	452
51700	2420	450
51800	2369	452
51900	2355	433
52000	2350	438
52100	2318	455
52200	2290	447
52300	2262	460
52400	2242	454
52500	2217	440
52600	2223	436
52700	2233	411
52800	2235	388
52900	2227	376
53000	2227	359
53100	2218	339
53200	2230	328
53300	2253	323
53400	2272	295
53500	2266	280
53600	2272	281
53700	2295	275
53800	2308	281
53900	2329	277
54000	2341	255
54100	2357	251
54200	2391	236
54300	2411	212
54400	2446	208
54500	2472	202
54600	2514	198
54700	2509	203
54800	2533	201
54900	2541	204
55000	2553	217
55100	2566	218
55200	2597	220
55300	2606	216
55400	2636	217
55500	2648	224
55600	2689	228
55700	2709	221
55800	2728	214
55900	2786	201
56000	2821	203
56100	2839	200
56200	2866	202
56300	2880	211
56400	2908	221
56500	2921	226
56600	2919	230
56700	2938	233
56800	2955	248
56900	2970	253
57000	2992	256
57100	3003	257
57200	3031	270
57300	3021	276
57400	3012	284
57500	3014	291
57600	2993	310
57700	2990	341
57800	2979	360
57900	2983	363
58000	2976	386
58100	2932	414
58200	2926	416
58300	2909	417
58400	2889	432
58500	2869	436
58600	2867	420
58700	2845	418
58800	2818	424
58900	2786	434
59000	2757	420
59100	2739	427
59200	2700	432
59300	2677	434
59400	2653	444
59500	2630	448
59600	2592	449
59700	2556	439
59800	2534	427
59900	2527	438
60000	2491	448
60100	2486	439
60200	2472	432
60300	2457	426
60400	2425	414
60500	2409	419
60600	2411	417
60700	2412	409
60800	2416	403
60900	2388	394
61000	2406	375
61100	2409	370
61200	2428	361
61300	2424	364
61400	2404	350
61500	2399	342
61600	2386	349
61700	2374	351
61800	2386	341
61900	2395	333
62000	2401	329
62100	2432	299
62200	2457	298
62300	2454	293
62400	2466	298
62500	2482	309
62600	2494	314
62700	2495	309
62800	2518	299
62900	2522	302
63000	2549	295
63100	2590	271
63200	2603	284
63300	2615	280
63400	2640	279
63500	2640	273
63600	2632	276
63700	2661	276
63800	2674	264
63900	2689	262
64000	2714	253
64100	2729	242
64200	2759	234
64300	2784	232
64400	2825	228
64500	2865	216
64600	2891	217
64700	2906	226
64800	2934	213
64900	2967	214
65000	3019	212
65100	3040	219
65200	3060	213
65300	3076	214
65400	3085	207
65500	3117	218
65600	3143	218
65700	3152	233
65800	3152	253
65900	3150	270
66000	3143	277
66100	3133	287
66200	3141	303
66300	3140	313
66400	3144	327
66500	3139	337
66600	3119	350
66700	3106	370
66800	3093	390
66900	3074	401
67000	3036	427
67100	2980	456
67200	2947	457
67300	2902	492
67400	2859	517
67500	2809	532
67600	2759	558
67700	2715	571
67800	2693	563
67900	2642	564
68000	2602	556
68100	2564	556
68200	2534	541
68300	2490	536
68400	2465	508
68500	2450	468
68600	2432	455
68700	2394	444
68800	2374	444
68900	2344	426
69000	2342	407
69100	2329	423
69200	2303	437
69300	2290	439
69400	2278	432
69500	2270	441
69600	2253	459
69700	2242	424
69800	2239	402
69900	2254	400
70000	2264	408
70100	2250	397
70200	2242	375
70300	2254	371
70400	2261	358
70500	2278	352
70600	2277	317
70700	2290	300
70800	2307	292
70900	2329	283
71000	2326	272
71100	2341	263
71200	2382	255
71300	2426	254
71400	2426	256
71500	2429	272
71600	2435	277
71700	2445	287
71800	2465	292
71900	2473	292
72000	2500	278
72100	2515	269
72200	2538	269
72300	2556	256
72400	2566	239
72500	2589	235
72600	2627	239
72700	2641	239
72800	2636	246
72900	2652	250
73000	2684	240
73100	2709	235
73200	2733	236
73300	2763	223
73400	2784	218
73500	2809	215
73600	2813	224
73700	2830	222
73800	2856	222
73900	2873	227
74000	2906	227
74100	2921	229
74200	2927	228
74300	2938	243
74400	2941	240
74500	2951	243
74600	2960	245
74700	2985	246
74800	3003	251
74900	3017	251
75000	3006	270
75100	3018	277
75200	3021	279
75300	3022	300
75400	3045	301
75500	3056	306
75600	3051	300
75700	3068	295
75800	3062	299
75900	3069	327
76000	3072	338
76100	3066	367
76200	3035	375
76300	3012	387
76400	2990	395
76500	2946	407
76600	2927	425
76700	2894	452
76800	2845	478
76900	2795	489
77000	2754	514
77100	2720	512
77200	2669	529
77300	2608	548
77400	2576	564
77500	2520	574
77600	2514	561
77700	2482	556
77800	2442	544
77900	2407	531
78000	2394	520
78100	2385	496
78200	2351	490
78300	2325	467
78400	2287	461
78500	2264	453
78600	2255	436
78700	2241	436
78800	2222	439
78900	2221	420
79000	2223	390
79100	2229	379
79200	2248	364
79300	2229	346
79400	2221	335
79500	2228	343
79600	2254	331
79700	2251	324
79800	2271	312
79900	2286	299
80000	2302	291
80100	2285	292
80200	2277	294
80300	2303	287
80400	2299	299
80500	2303	305
80600	2323	299
80700	2329	294
80800	2360	282
80900	2368	289
81000	2397	285
81100	2387	283
81200	2392	280
81300	2403	272
81400	2418	265
81500	2445	253
81600	2460	246
81700	2479	250
81800	2510	245
81900	2526	234
82000	2584	228
82100	2613	223
82200	2600	232
82300	2612	226
82400	2607	241
82500	2628	255
82600	2625	262
82700	2619	276
82800	2625	282
82900	2630	283
83000	2619	291
83100	2617	293
83200	2641	282
83300	2651	302
83400	2658	306
83500	2650	303
83600	2636	296
83700	2630	302
83800	2624	309
83900	2639	298
84000	2645	292
84100	2663	297
84200	2661	299
84300	2655	293
84400	2685	274
84500	2689	280
84600	2675	294
84700	2675	292
84800	2669	300
84900	2679	313
85000	2665	341
85100	2667	354
85200	2707	350
85300	2674	363
85400	2672	362
85500	2674	364
85600	2660	353
85700	2639	350
85800	2638	360
85900	2623	357
86000	2614	366
86100	2585	370
86200	2582	375
86300	2570	360
86400	2592	354
86500	2598	356
86600	2595	350
86700	2588	341
86800	2600	332
86900	2603	337
87000	2623	321
87100	2619	318
87200	2650	305
87300	2652	297
87400	2669	290
87500	2679	287
87600	2682	286
87700	2700	287
87800	2702	279
87900	2715	278
88000	2730	267
88100	2736	263
88200	2747	268
88300	2787	272
88400	2814	274
88500	2825	295
88600	2799	298
88700	2826	290
88800	2841	294
88900	2837	305
89000	2836	311
89100	2816	320
89200	2802	327
89300	2785	333
89400	2782	357
89500	2752	372
89600	2727	390
89700	2708	396
89800	2690	409
89900	2667	401
90000	2658	407
90100	2657	403
90200	2653	395
90300	2608	398
90400	2601	383
90500	2588	376
90600	2583	378
90700	2578	386
90800	2577	371
90900	2577	369
91000	2560	362
91100	2565	366
91200	2568	359
91300	2579	355
91400	2576	352
91500	2580	340
91600	2575	333
91700	2575	317
91800	2562	319
91900	2588	311
92000	2585	315
92100	2598	321
92200	2614	322
92300	2632	320
92400	2616	321
92500	2602	326
92600	2602	333
92700	2601	344
92800	2607	340
92900	2628	331
93000	2633	328
93100	2636	321
93200	2624	333
93300	2621	319
93400	2593	333
93500	2587	344
93600	2584	333
93700	2596	326
93800	2600	333
93900	2612	326
94000	2604	312
94100	2600	310
94200	2621	306
94300	2643	299
94400	2660	299
94500	2656	294
94600	2681	290
94700	2670	296
94800	2681	286
94900	2695	288
95000	2695	291
95100	2717	289
95200	2715	290
95300	2729	286
95400	2750	275
95500	2769	280
95600	2758	288
95700	2761	287
