Time	Food	Creatures
100	619	50
200	629	53
300	640	55
400	638	56
500	633	62
600	641	58
700	642	63
800	644	58
900	664	59
1000	679	61
1100	678	54
1200	674	56
1300	671	57
1400	667	59
1500	672	58
1600	659	58
1700	658	58
1800	651	64
1900	653	67
2000	650	69
2100	651	75
2200	652	75
2300	659	75
2400	650	79
2500	654	74
2600	653	77
2700	627	81
2800	619	82
2900	610	80
3000	602	82
3100	593	83
3200	576	82
3300	561	84
3400	546	89
3500	550	85
3600	545	87
3700	538	82
3800	531	80
3900	527	79
4000	531	76
4100	531	74
4200	527	72
4300	512	74
4400	497	75
4500	493	73
4600	494	74
4700	492	71
4800	481	68
4900	474	71
5000	472	74
5100	469	75
5200	462	73
5300	459	68
5400	459	65
5500	466	61
5600	487	59
5700	493	56
5800	507	54
5900	507	51
6000	509	49
6100	524	48
6200	530	44
6300	547	43
6400	562	43
6500	568	42
6600	569	42
6700	577	44
6800	593	42
6900	590	39
7000	615	34
7100	631	33
7200	641	34
7300	669	31
7400	685	30
7500	693	30
7600	689	35
7700	700	37
7800	699	35
7900	714	35
8000	722	38
8100	724	41
8200	725	44
8300	723	47
8400	733	48
8500	734	49
8600	729	50
8700	737	52
8800	746	46
8900	741	51
9000	742	53
9100	739	58
9200	735	58
9300	728	58
9400	729	66
9500	715	68
9600	702	75
9700	694	77
9800	685	79
9900	673	77
10000	663	80
10100	658	80
10200	656	80
10300	645	84
10400	628	88
10500	605	92
10600	591	90
10700	585	92
10800	579	93
10900	564	95
11000	551	93
11100	533	93
11200	531	93
11300	530	87
11400	529	83
11500	521	80
11600	506	73
11700	511	72
11800	509	68
11900	512	64
12000	524	60
12100	530	57
12200	534	55
12300	540	56
12400	559	50
12500	556	52
12600	560	56
12700	566	56
12800	572	56
12900	578	56
13000	585	55
13100	588	57
13200	584	56
13300	585	57
13400	585	58
13500	595	60
13600	592	60
13700	594	58
13800	596	63
13900	597	64
14000	594	63
14100	587	64
14200	569	66
14300	575	66
14400	577	67
14500	579	70
14600	584	68
14700	590	63
14800	597	60
14900	598	58
15000	588	57
15100	598	52
15200	610	49
15300	620	47
15400	622	47
15500	623	47
15600	629	50
15700	636	48
15800	640	49
15900	643	52
16000	661	54
16100	660	57
16200	668	56
16300	678	55
16400	664	61
16500	655	63
16600	649	60
16700	651	61
16800	657	64
16900	654	62
17000	662	64
17100	674	64
17200	670	66
17300	663	65
17400	650	67
17500	639	65
17600	643	68
17700	626	71
17800	625	69
17900	625	68
18000	620	66
18100	622	70
18200	626	67
18300	635	70
18400	612	75
18500	600	76
18600	582	80
18700	566	82
18800	559	85
18900	558	86
19000	548	85
19100	549	85
19200	538	81
19300	536	78
19400	546	75
19500	540	73
19600	542	71
19700	553	70
19800	556	63
19900	567	57
20000	575	54
