Time	Food	Creatures
100	1595	50
200	1655	50
300	1716	51
400	1766	51
500	1771	56
600	1779	57
700	1800	59
800	1844	61
900	1860	66
1000	1860	67
1100	1878	72
1200	1933	75
1300	1928	79
1400	1914	82
1500	1917	87
1600	1889	91
1700	1877	95
1800	1863	104
1900	1810	111
2000	1716	117
2100	1684	126
2200	1633	131
2300	1568	134
2400	1487	138
2500	1444	149
2600	1409	149
2700	1376	158
2800	1324	155
2900	1288	155
3000	1231	154
3100	1209	150
3200	1168	147
3300	1159	145
3400	1161	143
3500	1197	136
3600	1193	133
3700	1165	128
3800	1173	119
3900	1192	115
4000	1188	109
4100	1192	103
4200	1195	101
4300	1224	98
4400	1256	93
4500	1269	89
4600	1318	83
4700	1325	78
4800	1338	79
4900	1353	79
5000	1358	75
5100	1394	76
5200	1416	78
5300	1451	77
5400	1470	78
5500	1475	79
5600	1489	77
5700	1532	78
5800	1567	76
5900	1590	78
6000	1598	77
6100	1598	80
6200	1632	80
6300	1647	80
6400	1676	81
6500	1674	82
6600	1688	85
6700	1705	88
6800	1730	90
6900	1698	95
7000	1670	100
7100	1644	106
7200	1601	109
7300	1552	115
7400	1499	122
7500	1479	127
7600	1492	129
7700	1459	128
7800	1418	131
7900	1385	133
8000	1366	135
8100	1330	132
8200	1304	132
8300	1294	133
8400	1287	129
8500	1275	121
8600	1273	117
8700	1253	112
8800	1247	110
8900	1247	105
9000	1251	101
9100	1243	102
9200	1229	101
9300	1249	97
9400	1235	97
9500	1268	92
9600	1313	88
9700	1302	87
9800	1333	82
9900	1351	77
10000	1360	76
10100	1375	75
10200	1428	71
10300	1475	70
10400	1509	69
10500	1536	67
10600	1561	67
10700	1577	69
10800	1595	71
10900	1599	72
11000	1622	70
11100	1651	75
11200	1645	78
11300	1656	81
11400	1640	81
11500	1653	88
11600	1650	90
11700	1644	91
11800	1659	93
11900	1633	93
12000	1647	95
12100	1628	100
12200	1628	103
12300	1609	105
12400	1603	106
12500	1583	108
12600	1585	109
12700	1588	111
12800	1588	120
12900	1561	120
13000	1557	124
13100	1520	125
13200	1504	128
13300	1455	133
13400	1419	135
13500	1409	136
13600	1356	138
13700	1341	137
13800	1332	136
13900	1293	132
14000	1266	129
14100	1276	127
14200	1277	125
14300	1248	122
14400	1250	111
14500	1266	109
14600	1281	104
14700	1315	102
14800	1310	102
14900	1316	97
15000	1322	92
15100	1341	92
15200	1338	91
15300	1337	89
15400	1359	87
15500	1363	89
15600	1402	87
15700	1432	85
15800	1426	85
15900	1472	83
16000	1491	81
16100	1532	81
16200	1551	80
16300	1542	79
16400	1555	80
16500	1574	80
16600	1604	81
16700	1618	79
16800	1672	81
16900	1674	82
17000	1671	84
17100	1677	84
17200	1688	88
17300	1679	85
17400	1664	88
17500	1676	88
17600	1631	88
17700	1640	92
17800	1627	94
17900	1616	97
18000	1599	102
18100	1573	108
18200	1572	108
18300	1590	110
18400	1583	113
18500	1560	113
18600	1568	112
18700	1560	116
18800	1505	120
18900	1479	121
19000	1442	124
19100	1423	129
19200	1373	136
19300	1362	132
19400	1323	131
19500	1312	134
19600	1303	129
19700	1277	130
19800	1254	130
19900	1245	130
20000	1213	127
20100	1203	120
20200	1163	120
20300	1171	116
20400	1160	113
20500	1167	111
20600	1157	105
20700	1149	102
20800	1151	96
20900	1151	90
21000	1148	90
21100	1159	87
21200	1172	83
21300	1188	81
21400	1188	76
21500	1200	77
21600	1218	78
21700	1243	75
21800	1276	74
21900	1309	72
22000	1346	70
22100	1390	66
22200	1419	66
22300	1477	67
22400	1510	65
22500	1551	65
22600	1573	65
22700	1598	65
22800	1621	66
22900	1661	67
23000	1682	66
23100	1689	67
23200	1733	67
23300	1766	68
23400	1800	67
23500	1847	67
23600	1826	70
23700	1827	74
23800	1814	83
23900	1815	85
24000	1806	89
24100	1775	92
24200	1748	94
24300	1737	102
24400	1717	106
24500	1715	108
24600	1710	109
24700	1687	109
24800	1660	110
24900	1647	112
25000	1602	114
25100	1573	116
25200	1516	118
25300	1493	117
25400	1463	120
25500	1490	122
25600	1456	125
25700	1466	124
25800	1462	124
25900	1410	125
26000	1384	125
26100	1372	125
26200	1328	128
26300	1295	128
26400	1285	127
26500	1280	124
26600	1288	123
26700	1292	124
26800	1283	119
26900	1277	118
27000	1287	115
27100	1275	112
27200	1279	109
27300	1274	107
27400	1263	104
27500	1301	98
27600	1280	93
27700	1316	93
27800	1322	89
27900	1344	84
28000	1374	83
28100	1411	83
28200	1440	81
28300	1455	78
28400	1455	78
28500	1488	76
28600	1514	76
28700	1546	74
28800	1548	75
28900	1573	74
29000	1593	74
29100	1612	79
29200	1629	79
29300	1674	79
29400	1648	83
29500	1656	83
29600	1658	87
29700	1650	90
29800	1656	92
29900	1650	92
30000	1640	100
30100	1567	109
30200	1546	108
30300	1560	109
30400	1536	111
30500	1532	110
30600	1479	112
30700	1441	115
30800	1425	121
30900	1379	121
31000	1359	118
31100	1349	118
31200	1345	119
31300	1304	120
31400	1301	120
31500	1295	119
31600	1292	117
31700	1285	114
31800	1269	112
31900	1287	108
32000	1279	107
32100	1252	108
32200	1252	108
32300	1239	106
32400	1262	102
32500	1266	101
32600	1284	101
32700	1288	96
32800	1294	97
32900	1318	97
33000	1347	93
33100	1333	88
33200	1349	88
33300	1378	88
33400	1416	86
33500	1447	83
33600	1472	83
33700	1514	81
33800	1529	77
33900	1527	77
34000	1544	77
34100	1566	77
34200	1607	79
34300	1601	79
34400	1599	79
34500	1631	79
34600	1638	83
34700	1651	83
34800	1652	85
34900	1643	86
35000	1659	87
35100	1635	86
35200	1628	90
35300	1623	90
35400	1607	92
35500	1617	93
35600	1583	96
35700	1560	100
35800	1591	102
35900	1636	100
36000	1616	103
36100	1597	104
36200	1562	102
36300	1540	106
36400	1519	110
36500	1500	110
36600	1467	115
36700	1446	118
36800	1410	120
36900	1421	118
37000	1401	119
37100	1415	120
37200	1401	120
37300	1387	122
37400	1372	119
37500	1375	113
37600	1363	115
37700	1379	113
37800	1312	112
37900	1327	114
38000	1351	113
38100	1344	112
38200	1313	111
38300	1330	106
38400	1390	97
38500	1393	95
38600	1409	91
38700	1428	88
38800	1447	83
38900	1464	83
39000	1480	85
39100	1491	82
39200	1490	82
39300	1498	81
39400	1499	81
39500	1502	83
39600	1538	81
39700	1545	84
39800	1532	88
39900	1566	89
40000	1552	90
40100	1556	92
40200	1567	93
40300	1608	93
40400	1615	98
40500	1615	95
40600	1578	96
40700	1592	100
40800	1561	103
40900	1575	106
41000	1539	110
41100	1529	113
41200	1502	116
41300	1472	116
41400	1488	119
41500	1467	121
41600	1451	123
41700	1436	121
41800	1411	118
41900	1425	118
42000	1411	115
42100	1382	113
42200	1380	116
42300	1340	116
42400	1317	115
42500	1312	114
42600	1291	115
42700	1304	113
42800	1332	114
42900	1336	111
43000	1336	106
43100	1311	108
43200	1305	107
43300	1299	106
43400	1293	107
43500	1298	105
43600	1302	100
43700	1304	98
43800	1328	95
43900	1370	97
44000	1384	97
44100	1422	91
44200	1432	89
44300	1436	83
44400	1451	84
44500	1499	84
44600	1494	83
44700	1512	80
44800	1524	80
44900	1569	80
45000	1589	77
45100	1641	75
45200	1689	75
45300	1697	76
45400	1704	76
45500	1718	77
45600	1730	78
45700	1742	79
45800	1760	82
45900	1761	84
46000	1749	90
46100	1741	94
46200	1704	96
46300	1682	98
46400	1654	103
46500	1651	106
46600	1627	109
46700	1615	114
46800	1599	119
46900	1563	119
47000	1526	122
47100	1530	125
47200	1472	126
47300	1453	128
47400	1439	129
47500	1416	127
47600	1372	126
47700	1338	125
47800	1314	126
47900	1305	125
48000	1275	120
48100	1295	118
48200	1274	118
48300	1277	115
48400	1239	113
48500	1225	113
48600	1209	113
48700	1239	108
48800	1247	105
48900	1249	107
49000	1271	104
49100	1296	99
49200	1315	94
49300	1323	89
49400	1343	89
49500	1344	88
49600	1355	84
49700	1382	80
49800	1409	79
49900	1436	80
50000	1468	76
50100	1504	75
50200	1530	75
50300	1570	73
50400	1555	72
50500	1570	71
50600	1625	71
50700	1639	74
50800	1674	74
50900	1680	77
51000	1693	77
51100	1712	77
51200	1716	77
51300	1739	78
51400	1724	83
51500	1746	86
51600	1719	88
51700	1712	91
51800	1720	93
51900	1698	100
52000	1675	102
52100	1697	100
52200	1705	101
52300	1703	104
52400	1683	111
52500	1673	109
52600	1655	110
52700	1626	112
52800	1621	115
52900	1576	116
53000	1547	120
53100	1505	125
53200	1446	128
53300	1406	128
53400	1392	127
53500	1374	129
53600	1300	129
53700	1270	128
53800	1266	127
53900	1238	129
54000	1213	125
54100	1186	129
54200	1183	127
54300	1181	119
54400	1163	115
54500	1177	112
54600	1182	112
54700	1169	104
54800	1168	101
54900	1203	95
55000	1249	95
55100	1257	94
55200	1288	88
55300	1302	86
55400	1334	80
55500	1349	81
55600	1383	77
55700	1412	75
55800	1433	75
55900	1470	75
56000	1494	75
56100	1554	73
56200	1573	75
56300	1595	75
56400	1601	72
56500	1638	71
56600	1655	72
56700	1657	72
56800	1661	75
56900	1706	76
57000	1722	78
57100	1712	79
57200	1737	83
57300	1728	83
57400	1746	86
57500	1731	89
57600	1717	93
57700	1699	99
57800	1686	102
57900	1676	102
58000	1683	100
58100	1655	102
58200	1627	101
58300	1630	104
58400	1614	105
58500	1624	106
58600	1607	108
58700	1599	108
58800	1605	105
58900	1575	107
59000	1538	111
59100	1527	114
59200	1513	109
59300	1471	110
59400	1456	108
59500	1424	111
59600	1420	114
59700	1422	113
59800	1421	110
59900	1411	114
60000	1400	113
60100	1372	114
60200	1369	114
60300	1378	112
60400	1341	115
60500	1318	116
60600	1307	119
60700	1281	121
60800	1292	121
60900	1281	119
61000	1283	117
61100	1276	117
61200	1260	114
61300	1246	109
61400	1244	102
61500	1290	99
61600	1330	100
61700	1355	101
61800	1356	99
61900	1345	93
62000	1370	90
62100	1390	91
62200	1410	91
62300	1439	91
62400	1443	89
62500	1438	85
62600	1454	84
62700	1460	87
62800	1445	88
62900	1445	88
63000	1467	89
63100	1492	93
63200	1511	95
63300	1514	94
63400	1520	93
63500	1502	97
63600	1514	98
63700	1541	95
63800	1544	95
63900	1574	95
64000	1592	94
64100	1598	94
64200	1617	96
64300	1605	96
64400	1617	98
64500	1613	98
64600	1643	98
64700	1641	99
64800	1631	98
64900	1640	95
65000	1626	96
65100	1609	97
65200	1614	97
65300	1609	98
65400	1598	102
65500	1546	105
65600	1532	108
65700	1493	110
65800	1503	114
65900	1463	114
66000	1447	116
66100	1418	119
66200	1401	123
66300	1401	125
66400	1367	124
66500	1359	123
66600	1333	122
66700	1340	123
66800	1351	119
66900	1333	118
67000	1334	116
67100	1318	113
67200	1330	111
67300	1319	106
67400	1338	100
67500	1354	99
67600	1353	97
67700	1382	95
67800	1387	97
67900	1405	94
68000	1419	90
68100	1425	84
68200	1439	83
68300	1452	81
68400	1473	81
68500	1516	81
68600	1519	84
68700	1510	86
68800	1541	86
68900	1541	86
69000	1560	84
69100	1548	84
69200	1574	82
69300	1577	86
69400	1594	86
69500	1608	86
69600	1624	85
69700	1624	85
69800	1642	85
69900	1609	90
70000	1588	89
70100	1596	91
70200	1610	92
70300	1615	94
70400	1625	92
70500	1623	97
70600	1618	98
70700	1617	99
70800	1599	101
70900	1601	103
71000	1574	110
71100	1553	111
71200	1542	111
71300	1491	118
71400	1459	121
71500	1452	121
71600	1422	121
71700	1421	120
71800	1454	116
71900	1438	114
72000	1465	118
72100	1479	111
72200	1431	110
72300	1421	113
72400	1416	113
72500	1409	112
72600	1379	116
72700	1350	117
72800	1374	110
72900	1385	108
73000	1379	107
73100	1376	108
