Time	Food	Creatures
100	1107	109
200	1022	134
300	941	173
400	827	218
500	698	275
600	579	315
700	478	354
800	374	391
900	293	412
1000	219	431
1100	176	438
1200	130	443
1300	109	430
1400	86	415
1500	64	402
1600	66	378
1700	63	341
1800	62	300
1900	55	264
2000	55	231
2100	53	194
2200	54	161
2300	63	119
2400	70	94
2500	79	77
2600	89	61
2700	99	50
2800	109	43
2900	120	29
3000	127	24
3100	135	18
3200	147	16
3300	157	12
3400	164	10
3500	174	10
3600	183	10
3700	189	11
3800	200	11
3900	207	11
4000	217	11
4100	222	8
4200	231	8
4300	245	8
4400	255	6
4500	267	5
4600	280	3
4700	288	3
4800	301	3
4900	308	4
5000	320	3
5100	330	3
5200	340	3
5300	349	3
5400	358	3
5500	365	2
5600	376	2
5700	383	2
5800	387	2
5900	393	3
6000	407	3
6100	417	4
6200	430	4
6300	440	5
6400	452	6
6500	458	6
6600	468	6
6700	479	6
6800	489	4
6900	498	4
7000	500	5
7100	506	5
7200	512	5
7300	521	6
7400	538	6
7500	547	6
7600	556	6
7700	559	7
7800	559	10
7900	566	10
8000	571	11
8100	582	10
8200	591	10
8300	605	10
8400	617	10
8500	621	12
8600	632	15
8700	639	15
8800	649	16
8900	654	20
9000	653	23
9100	654	24
9200	663	24
9300	662	30
9400	659	34
9500	663	34
9600	669	37
9700	661	40
9800	654	46
9900	646	47
10000	635	54
10100	613	65
10200	603	69
10300	586	78
10400	580	84
10500	553	94
10600	524	108
10700	502	117
10800	473	129
10900	442	138
11000	429	143
11100	400	152
11200	369	159
11300	343	164
11400	305	169
11500	288	171
11600	258	172
11700	241	177
11800	222	176
11900	208	174
12000	199	170
12100	197	165
12200	183	159
12300	174	157
12400	164	143
12500	158	137
12600	156	129
12700	153	123
12800	149	113
12900	155	99
13000	164	90
13100	160	80
13200	158	77
13300	159	72
13400	162	67
13500	161	61
13600	165	52
13700	167	48
13800	174	45
13900	181	42
14000	188	41
14100	196	34
14200	202	32
14300	204	31
14400	216	32
14500	227	31
14600	235	27
14700	244	25
14800	253	23
14900	260	21
15000	273	20
15100	277	17
15200	281	18
15300	286	18
15400	292	16
15500	297	15
15600	306	13
15700	313	13
15800	319	14
15900	330	14
16000	337	14
16100	335	15
16200	347	15
16300	353	15
16400	355	15
16500	363	16
16600	366	14
16700	378	16
16800	384	16
16900	391	16
17000	401	17
17100	410	15
17200	419	16
17300	422	19
17400	430	20
17500	441	20
17600	446	20
17700	455	20
17800	464	20
17900	470	22
18000	481	22
18100	493	22
18200	489	24
18300	495	24
18400	499	25
18500	507	26
18600	508	27
18700	518	29
18800	519	31
18900	523	33
19000	525	34
19100	528	36
19200	525	40
19300	521	41
19400	517	45
19500	511	49
19600	496	56
19700	486	62
19800	483	68
19900	475	74
20000	465	80
20100	445	82
20200	425	88
20300	420	94
20400	412	95
20500	396	104
20600	375	105
20700	352	109
20800	333	114
20900	314	121
21000	301	121
21100	282	125
21200	272	128
21300	251	134
21400	235	139
21500	224	137
21600	221	136
21700	212	133
21800	203	122
21900	197	120
22000	193	111
22100	193	104
22200	196	94
22300	186	93
22400	182	86
22500	180	79
22600	178	78
22700	178	70
22800	171	65
22900	180	62
23000	189	58
23100	190	58
23200	192	58
23300	197	55
23400	202	47
23500	212	45
23600	223	45
23700	229	46
23800	236	42
23900	244	40
24000	252	38
24100	264	38
24200	273	36
24300	273	35
24400	281	36
24500	287	35
24600	290	33
24700	286	37
24800	290	37
24900	295	37
25000	300	37
25100	302	35
25200	308	34
25300	308	37
25400	308	37
25500	309	37
25600	323	35
25700	328	35
25800	333	31
25900	335	30
26000	335	32
26100	335	32
26200	332	33
26300	339	33
26400	338	32
26500	346	33
26600	346	33
26700	349	35
26800	361	33
26900	364	35
27000	363	35
27100	363	35
27200	362	37
27300	371	40
27400	366	43
27500	362	48
27600	359	48
27700	357	52
27800	355	55
27900	348	58
28000	340	60
28100	337	61
28200	344	58
28300	347	61
28400	334	70
28500	330	72
28600	329	73
28700	321	74
28800	318	72
28900	313	70
29000	310	71
29100	304	69
29200	305	67
29300	311	71
29400	308	68
29500	301	71
29600	298	70
29700	287	71
29800	286	74
29900	286	74
30000	284	73
30100	276	72
30200	271	74
30300	266	72
30400	268	72
30500	271	72
30600	274	73
30700	272	70
30800	264	66
30900	257	67
31000	257	65
31100	255	65
31200	265	62
31300	262	60
31400	271	58
31500	268	56
31600	259	55
31700	257	51
31800	265	51
31900	277	49
32000	274	49
32100	271	50
32200	270	52
32300	264	49
32400	272	48
32500	277	48
32600	280	48
32700	288	40
32800	293	42
32900	301	37
33000	302	36
33100	304	36
33200	305	37
33300	309	40
33400	314	38
33500	322	38
33600	331	36
33700	330	35
33800	333	36
33900	336	35
34000	337	36
34100	346	36
34200	344	40
34300	341	40
34400	337	41
34500	345	44
34600	348	43
34700	349	46
34800	351	45
34900	351	45
35000	363	46
35100	366	48
35200	363	46
35300	361	46
35400	369	46
35500	373	48
35600	375	49
35700	367	49
35800	368	49
35900	358	58
36000	355	60
36100	353	62
36200	351	59
36300	349	62
36400	349	63
36500	340	63
36600	340	66
36700	341	72
36800	337	75
36900	343	75
37000	337	76
37100	335	78
37200	326	81
37300	329	82
37400	324	81
37500	312	86
37600	303	84
37700	301	86
37800	288	92
37900	278	95
38000	272	93
38100	268	92
38200	255	93
38300	248	94
38400	247	91
38500	235	91
38600	222	90
38700	216	87
38800	214	89
38900	212	87
39000	212	86
39100	210	80
39200	210	79
39300	207	75
39400	208	70
39500	222	66
