Time	Food	Creatures
100	294	50
200	290	50
300	285	55
400	289	56
500	287	58
600	286	42
700	291	43
800	293	44
900	288	47
1000	292	47
1100	291	38
1200	295	37
1300	293	40
1400	301	41
1500	303	44
1600	301	44
1700	295	42
1800	302	44
1900	295	47
2000	302	48
2100	300	51
2200	297	50
2300	300	48
2400	294	47
2500	293	48
2600	297	48
2700	299	46
2800	305	42
2900	310	42
3000	314	39
3100	323	40
3200	327	40
3300	342	37
3400	348	38
3500	347	37
3600	357	33
3700	364	32
3800	368	31
3900	367	31
4000	370	30
4100	372	29
4200	378	27
4300	377	26
4400	378	27
4500	375	30
4600	383	34
4700	371	34
4800	370	39
4900	373	43
5000	373	44
5100	376	46
5200	378	46
5300	384	48
5400	389	49
5500	390	49
5600	390	45
5700	390	43
5800	393	41
5900	396	43
6000	395	45
6100	393	45
6200	397	47
6300	396	50
6400	386	52
6500	389	53
6600	388	55
6700	388	56
6800	388	54
6900	384	54
7000	376	58
7100	383	59
7200	379	60
7300	380	59
7400	377	63
7500	363	63
7600	357	62
7700	352	63
7800	348	62
7900	344	67
8000	336	71
8100	324	70
8200	313	77
8300	293	84
8400	285	89
8500	283	87
8600	270	89
8700	267	89
8800	255	90
8900	257	92
9000	258	87
9100	256	84
9200	257	80
9300	252	80
9400	258	77
9500	256	76
9600	253	70
9700	249	71
9800	243	73
9900	248	71
10000	250	67
10100	251	65
10200	254	66
10300	256	65
10400	258	58
10500	260	56
10600	262	55
10700	265	53
10800	264	54
10900	274	53
11000	276	52
11100	284	50
11200	285	49
11300	280	44
11400	280	39
11500	290	40
11600	302	39
11700	303	41
11800	296	44
11900	298	43
12000	306	43
12100	307	41
12200	304	44
12300	299	48
12400	305	49
12500	302	50
12600	301	50
12700	304	54
12800	311	53
12900	313	53
13000	310	56
13100	307	56
13200	311	57
13300	308	59
13400	308	59
13500	306	58
13600	312	55
13700	314	57
13800	310	56
13900	312	55
14000	328	50
14100	334	49
14200	330	51
14300	329	51
14400	328	54
14500	327	57
14600	328	60
14700	329	63
14800	322	63
14900	313	64
15000	306	66
15100	305	67
15200	312	63
15300	315	62
15400	310	61
15500	310	57
15600	308	60
15700	310	52
15800	310	56
15900	305	59
16000	300	63
16100	294	66
16200	294	67
16300	294	69
16400	297	69
16500	302	66
16600	300	66
16700	288	66
16800	291	66
16900	286	64
17000	286	63
17100	288	61
17200	288	65
17300	289	63
17400	287	63
17500	287	61
17600	287	60
17700	288	57
17800	297	59
17900	299	58
18000	292	56
18100	290	52
18200	291	54
18300	294	54
18400	293	55
18500	293	55
18600	295	53
18700	296	52
18800	295	52
18900	285	51
19000	288	51
19100	291	47
19200	300	45
19300	297	48
19400	300	51
19500	299	48
19600	296	49
19700	295	50
19800	296	51
19900	300	52
20000	294	53
20100	298	52
20200	304	51
20300	303	51
20400	308	50
20500	313	48
20600	322	46
20700	324	47
20800	322	47
20900	325	48
21000	328	50
21100	328	50
21200	326	51
21300	323	51
21400	322	50
21500	318	50
21600	317	51
21700	313	51
21800	313	51
21900	314	51
22000	320	52
22100	316	55
22200	317	56
22300	330	54
22400	328	51
22500	325	53
22600	324	53
22700	325	54
22800	317	60
22900	314	61
