Time	Food	Creatures
100	1181	59
200	1182	65
300	1191	72
400	1175	83
500	1172	89
600	1171	77
700	1163	81
800	1162	79
900	1157	80
1000	1164	73
1100	1160	69
1200	1154	76
1300	1157	75
1400	1155	73
1500	1153	74
1600	1146	75
1700	1143	74
1800	1143	74
1900	1143	69
2000	1142	60
2100	1147	58
2200	1144	58
2300	1150	52
2400	1151	49
2500	1161	46
2600	1161	45
2700	1172	38
2800	1174	39
2900	1177	37
3000	1177	40
3100	1181	39
3200	1184	34
3300	1188	28
3400	1189	31
3500	1186	33
3600	1197	31
3700	1202	31
3800	1219	30
3900	1221	28
4000	1228	27
4100	1235	24
4200	1241	24
4300	1250	22
4400	1258	22
4500	1265	22
4600	1274	19
4700	1284	20
4800	1292	19
4900	1295	19
5000	1303	17
5100	1316	17
5200	1322	19
5300	1332	20
5400	1340	18
5500	1350	16
5600	1350	23
5700	1351	23
5800	1361	22
5900	1365	21
6000	1368	27
6100	1373	30
6200	1379	30
6300	1379	29
6400	1387	31
6500	1391	34
6600	1401	29
6700	1407	26
6800	1412	25
6900	1414	26
7000	1422	22
7100	1426	22
7200	1430	21
7300	1436	19
7400	1441	20
7500	1447	17
7600	1457	14
7700	1463	16
7800	1470	17
7900	1483	16
8000	1495	16
8100	1504	17
8200	1508	17
8300	1518	15
8400	1520	16
8500	1521	19
8600	1534	19
8700	1542	20
8800	1546	21
8900	1555	22
9000	1559	21
9100	1571	18
9200	1583	19
9300	1594	22
9400	1599	16
9500	1618	15
9600	1621	16
9700	1629	18
9800	1628	21
9900	1635	21
10000	1639	25
10100	1644	26
10200	1650	26
10300	1653	29
10400	1650	36
10500	1662	35
10600	1662	37
10700	1659	44
10800	1654	47
10900	1649	44
11000	1648	50
11100	1647	55
11200	1646	57
11300	1640	58
11400	1630	58
11500	1620	68
11600	1615	78
11700	1615	80
11800	1612	76
11900	1602	73
12000	1608	73
12100	1598	70
12200	1589	75
12300	1587	74
12400	1581	75
12500	1585	74
12600	1586	69
12700	1589	60
12800	1586	63
12900	1576	63
13000	1577	59
13100	1582	61
13200	1584	66
13300	1581	69
13400	1573	64
13500	1565	73
13600	1562	73
13700	1567	73
13800	1561	69
13900	1561	66
14000	1558	67
14100	1555	61
14200	1560	61
14300	1558	59
14400	1565	59
14500	1564	59
14600	1570	55
14700	1580	46
14800	1586	46
14900	1591	50
15000	1592	44
15100	1595	44
15200	1593	49
15300	1595	50
15400	1597	49
15500	1592	52
15600	1597	52
15700	1599	46
15800	1600	44
15900	1600	41
16000	1602	48
16100	1595	51
16200	1590	52
16300	1590	55
16400	1589	52
16500	1587	57
16600	1576	61
16700	1568	67
16800	1561	68
16900	1558	66
17000	1558	69
17100	1555	69
17200	1556	66
17300	1549	70
17400	1544	69
17500	1548	66
17600	1545	68
17700	1543	70
17800	1539	68
17900	1545	67
18000	1543	60
18100	1550	58
18200	1548	53
18300	1543	56
18400	1534	56
18500	1526	63
18600	1525	67
18700	1521	67
18800	1518	73
18900	1511	78
19000	1507	79
19100	1497	82
19200	1484	92
19300	1470	93
19400	1460	102
19500	1447	102
19600	1448	104
19700	1433	100
19800	1421	101
19900	1411	101
20000	1399	100
20100	1379	104
20200	1365	110
20300	1347	117
20400	1338	120
20500	1321	118
20600	1309	122
20700	1288	125
20800	1287	108
20900	1289	106
21000	1279	109
21100	1276	110
21200	1265	114
21300	1251	119
21400	1237	113
21500	1231	98
