Time	Food	Creatures
100	1199	111
200	1203	118
300	1204	131
400	1214	137
500	1202	149
600	1200	125
700	1208	130
800	1207	146
900	1218	139
1000	1222	139
1100	1223	123
1200	1224	117
1300	1227	120
1400	1227	108
1500	1234	105
1600	1241	102
1700	1244	105
1800	1271	93
1900	1278	87
2000	1281	82
2100	1302	84
2200	1314	74
2300	1329	68
2400	1331	72
2500	1339	74
2600	1344	78
2700	1350	80
2800	1374	74
2900	1382	71
3000	1393	67
3100	1405	69
3200	1408	70
3300	1412	74
3400	1430	78
3500	1441	80
3600	1457	80
3700	1471	77
3800	1487	73
3900	1493	76
4000	1504	68
4100	1525	68
4200	1540	60
4300	1551	62
4400	1575	58
4500	1589	52
4600	1608	54
4700	1625	50
4800	1631	56
4900	1649	56
5000	1663	53
5100	1664	57
5200	1675	60
5300	1681	68
5400	1700	63
5500	1701	65
5600	1706	67
5700	1700	73
5800	1710	67
5900	1717	69
6000	1730	68
6100	1736	75
6200	1753	71
6300	1760	80
6400	1768	81
6500	1779	86
6600	1783	84
6700	1781	92
6800	1780	89
6900	1789	87
7000	1797	92
7100	1802	87
7200	1797	96
7300	1793	103
7400	1804	104
7500	1809	100
7600	1805	111
7700	1798	113
7800	1802	107
7900	1797	124
8000	1787	132
8100	1782	139
8200	1762	140
8300	1753	141
8400	1752	150
8500	1738	155
8600	1734	148
8700	1726	160
8800	1704	181
8900	1708	189
9000	1686	187
9100	1679	180
9200	1668	191
9300	1666	174
9400	1659	172
9500	1649	170
9600	1638	163
9700	1626	171
9800	1613	173
9900	1610	175
10000	1589	185
10100	1565	197
10200	1553	201
10300	1533	190
10400	1522	196
10500	1521	193
10600	1499	195
10700	1496	191
10800	1489	185
10900	1475	185
11000	1464	184
11100	1449	178
11200	1447	182
11300	1435	179
11400	1438	170
11500	1433	168
11600	1414	169
11700	1393	171
11800	1389	170
11900	1378	169
12000	1361	176
12100	1352	175
12200	1339	175
12300	1334	178
12400	1325	174
12500	1318	173
12600	1315	164
12700	1309	174
12800	1307	170
12900	1306	163
13000	1299	168
13100	1285	166
13200	1278	158
13300	1272	152
13400	1265	150
13500	1273	159
13600	1284	152
13700	1292	133
13800	1302	140
13900	1298	136
14000	1290	145
14100	1297	130
14200	1313	126
14300	1310	136
14400	1300	140
