Time	Food	Creatures
100	304	51
200	301	57
300	295	65
400	307	74
500	296	80
600	299	69
700	289	75
800	298	72
900	292	70
1000	292	70
1100	289	65
1200	287	69
1300	283	70
1400	283	67
1500	279	68
1600	286	70
1700	286	66
1800	283	63
1900	279	63
2000	274	68
2100	270	68
2200	267	65
2300	266	64
2400	265	58
2500	276	52
2600	276	53
2700	281	43
2800	287	45
2900	296	39
3000	299	39
3100	308	36
3200	311	40
3300	314	42
3400	319	40
3500	321	41
3600	325	37
3700	333	36
3800	334	35
3900	345	35
4000	345	39
4100	353	40
4200	355	37
4300	352	39
4400	351	41
4500	346	42
4600	348	43
4700	350	48
4800	350	52
4900	354	49
5000	358	49
5100	352	57
5200	354	56
5300	352	56
5400	357	57
5500	360	62
5600	351	62
5700	350	63
5800	343	67
5900	332	74
6000	326	74
6100	319	80
6200	313	85
6300	316	86
6400	304	93
6500	304	91
6600	292	91
6700	292	86
6800	280	85
6900	280	84
7000	274	80
7100	272	79
7200	266	82
7300	259	76
7400	262	68
7500	264	70
7600	263	69
7700	264	64
7800	260	59
7900	271	59
8000	270	59
8100	272	60
8200	271	57
8300	273	58
8400	266	62
8500	262	62
8600	260	59
8700	266	58
8800	267	51
8900	274	45
9000	274	45
9100	285	41
9200	287	42
9300	289	43
9400	290	46
9500	296	45
9600	289	54
9700	294	54
9800	285	61
9900	283	66
10000	294	66
10100	288	69
10200	283	66
10300	273	68
10400	274	63
10500	281	54
10600	278	55
10700	277	57
10800	274	50
10900	280	48
11000	285	48
11100	284	49
11200	289	51
11300	294	48
11400	294	49
11500	299	48
11600	297	49
11700	298	49
11800	296	45
11900	298	43
12000	297	45
12100	297	48
12200	292	47
12300	300	50
12400	309	51
12500	308	58
12600	307	55
12700	308	58
12800	306	61
12900	303	64
13000	303	68
13100	307	65
13200	310	62
13300	307	58
13400	303	54
13500	298	55
13600	296	56
13700	300	57
13800	304	56
13900	311	55
14000	311	56
14100	306	50
14200	304	47
14300	302	49
14400	309	51
14500	308	50
14600	314	48
14700	313	54
14800	307	54
14900	307	47
15000	311	48
15100	309	46
15200	309	45
15300	308	47
15400	313	47
15500	316	45
15600	315	47
15700	324	47
15800	332	45
15900	339	40
16000	338	39
16100	341	38
16200	344	43
16300	347	48
16400	355	46
16500	354	47
16600	354	47
16700	343	52
16800	337	55
16900	337	54
17000	342	54
17100	345	54
17200	348	53
17300	344	51
17400	347	45
17500	350	49
17600	349	53
17700	355	54
17800	349	49
17900	350	51
18000	347	51
18100	345	48
18200	347	54
18300	344	57
18400	338	59
18500	337	62
18600	331	62
18700	321	68
18800	314	72
18900	315	71
19000	310	70
19100	299	71
19200	289	73
19300	282	72
19400	280	68
19500	277	72
19600	273	74
19700	267	73
19800	265	71
19900	261	81
20000	248	90
20100	239	81
20200	237	75
20300	238	72
20400	238	68
20500	229	72
20600	230	65
20700	230	61
20800	233	63
20900	228	55
21000	222	55
21100	228	48
21200	228	47
21300	230	50
21400	233	47
21500	235	48
21600	242	48
21700	240	47
21800	235	52
21900	230	56
22000	236	54
22100	234	52
22200	232	50
22300	235	49
22400	237	42
22500	249	34
22600	248	35
22700	251	38
22800	260	32
22900	254	35
23000	253	39
23100	256	40
23200	262	38
23300	265	39
23400	277	39
23500	272	41
23600	285	36
23700	298	35
23800	299	38
23900	303	38
24000	304	38
24100	315	37
24200	312	38
24300	307	40
24400	319	40
24500	313	43
24600	312	48
24700	315	54
24800	317	53
24900	321	52
25000	318	57
25100	324	56
25200	324	58
25300	320	64
25400	315	65
25500	308	68
25600	307	68
25700	299	71
25800	288	76
25900	290	72
26000	298	75
26100	289	84
26200	291	84
26300	280	77
26400	282	76
26500	282	78
26600	280	79
26700	276	75
26800	274	77
26900	270	78
27000	274	76
27100	266	75
27200	263	74
27300	255	75
27400	257	76
27500	262	77
27600	259	73
27700	257	68
27800	261	64
27900	258	63
28000	268	59
28100	263	57
28200	263	64
28300	261	56
28400	266	54
28500	262	53
28600	262	55
28700	261	54
28800	264	55
28900	278	50
29000	282	49
29100	281	47
29200	285	48
29300	280	43
29400	290	40
29500	289	41
29600	293	40
29700	293	43
29800	298	49
29900	299	47
30000	305	48
30100	310	48
30200	310	52
30300	306	50
30400	308	48
30500	308	49
30600	317	49
30700	316	48
30800	320	48
30900	316	38
31000	326	35
31100	328	37
31200	336	40
31300	332	43
31400	333	45
31500	332	45
31600	334	46
31700	329	48
31800	324	49
31900	324	47
32000	310	56
32100	300	58
32200	297	58
32300	306	56
32400	305	56
32500	310	57
32600	302	53
32700	302	51
32800	304	48
32900	305	50
33000	313	50
33100	317	51
33200	317	50
33300	319	53
33400	324	45
33500	325	44
33600	328	41
33700	327	46
33800	334	45
33900	338	39
34000	341	41
34100	343	45
34200	333	48
34300	336	44
34400	336	44
34500	341	41
34600	350	42
34700	356	40
34800	356	38
34900	360	34
35000	361	35
35100	361	36
35200	360	44
35300	359	42
35400	350	47
35500	354	50
35600	347	56
35700	351	58
35800	351	58
35900	354	58
36000	351	63
36100	339	66
36200	334	70
36300	330	71
36400	319	75
36500	325	77
36600	324	76
36700	325	73
36800	322	68
36900	316	69
37000	309	69
37100	293	76
37200	286	78
37300	281	79
37400	273	85
37500	272	88
37600	274	89
37700	275	79
37800	277	77
37900	283	73
38000	285	69
38100	282	68
38200	286	64
38300	284	66
38400	270	66
38500	267	65
38600	261	68
38700	257	69
38800	242	77
38900	237	80
39000	239	77
39100	238	70
39200	243	66
39300	241	62
39400	238	57
39500	238	55
39600	242	53
39700	248	52
39800	246	50
39900	249	43
40000	249	47
40100	256	49
40200	260	45
40300	270	41
40400	268	39
40500	271	39
40600	275	35
40700	278	32
40800	285	32
40900	288	33
41000	291	29
41100	292	31
41200	305	31
41300	307	31
41400	316	29
41500	323	29
41600	331	29
41700	341	24
41800	339	29
41900	352	31
42000	351	31
42100	363	28
42200	376	28
42300	378	27
42400	381	26
42500	386	25
42600	389	31
42700	392	34
42800	397	36
42900	401	35
43000	402	36
43100	397	41
43200	399	43
43300	397	42
43400	406	43
43500	408	47
43600	411	54
43700	407	56
43800	398	59
43900	399	62
44000	398	66
44100	396	64
44200	381	69
44300	381	72
44400	366	78
44500	353	82
44600	339	86
44700	334	92
44800	322	98
44900	301	97
45000	289	99
45100	294	100
45200	288	99
45300	265	108
45400	262	110
45500	247	116
45600	246	114
45700	237	117
45800	225	114
45900	215	106
46000	205	101
46100	206	94
46200	209	84
46300	213	78
46400	215	73
46500	211	69
46600	216	63
46700	222	57
46800	225	49
46900	229	42
47000	235	41
47100	243	36
47200	255	31
47300	259	33
47400	260	30
47500	265	27
47600	270	27
47700	280	28
47800	290	25
47900	289	24
48000	291	24
48100	295	26
48200	298	28
48300	307	22
48400	320	21
48500	325	18
48600	336	16
48700	344	16
48800	351	14
48900	358	17
49000	363	17
49100	371	15
49200	374	13
49300	384	12
49400	387	17
49500	399	16
49600	404	15
49700	411	16
49800	418	17
49900	425	14
50000	425	15
50100	427	19
50200	434	21
50300	446	22
50400	448	22
50500	452	23
50600	454	27
50700	463	28
50800	459	31
50900	466	29
51000	473	32
51100	473	28
51200	479	29
51300	482	30
51400	487	31
51500	479	35
51600	474	40
51700	469	50
51800	469	51
51900	473	51
52000	470	51
52100	467	56
52200	470	52
52300	466	53
52400	453	58
52500	449	65
52600	439	78
52700	423	84
52800	397	97
52900	378	109
53000	366	117
53100	350	125
53200	337	124
53300	323	131
53400	310	127
53500	292	136
53600	269	130
53700	252	136
53800	245	140
53900	234	139
54000	223	131
54100	211	117
54200	214	113
54300	211	110
54400	210	93
54500	214	88
54600	219	73
54700	221	69
54800	221	63
54900	228	54
55000	231	48
55100	230	44
55200	238	44
55300	240	36
55400	243	37
55500	248	36
55600	253	37
55700	258	38
55800	267	38
55900	267	35
56000	265	35
56100	269	32
56200	273	35
56300	280	35
56400	281	38
56500	275	38
56600	274	41
56700	277	40
56800	280	39
56900	283	40
57000	282	42
57100	285	46
57200	282	44
57300	280	48
57400	281	53
57500	285	53
57600	295	49
57700	295	48
57800	303	44
57900	293	49
58000	294	49
58100	301	46
58200	301	46
58300	306	45
58400	300	47
58500	302	44
58600	300	46
58700	293	54
58800	293	56
58900	292	53
59000	294	51
59100	293	50
59200	292	52
59300	293	43
59400	298	41
59500	296	45
59600	302	45
59700	304	49
59800	307	43
59900	314	39
60000	324	42
60100	326	39
60200	331	38
60300	339	37
60400	341	40
60500	340	42
60600	340	42
60700	335	48
60800	338	50
60900	339	49
61000	340	50
61100	341	48
61200	341	49
61300	348	47
61400	352	43
61500	361	42
61600	369	42
61700	369	39
61800	380	35
61900	379	37
62000	376	46
62100	379	46
62200	386	48
62300	376	52
62400	375	54
62500	372	56
62600	363	55
62700	351	57
62800	354	58
62900	359	57
63000	362	52
