Time	Food	Creatures
100	309	50
200	311	50
300	312	50
400	316	50
500	323	50
600	336	27
700	339	27
800	346	27
900	349	28
1000	353	30
1100	359	23
1200	373	23
1300	379	23
1400	385	24
1500	389	24
1600	396	20
1700	407	20
1800	410	20
1900	413	22
2000	417	23
2100	426	23
2200	427	23
2300	440	24
2400	444	26
2500	458	26
2600	459	26
2700	459	29
2800	467	32
2900	469	34
3000	475	38
3100	466	41
3200	460	45
3300	458	46
3400	451	48
3500	451	51
3600	444	54
3700	431	59
3800	424	66
3900	417	69
4000	417	70
4100	409	73
4200	402	76
4300	404	76
4400	388	76
4500	383	79
4600	371	81
4700	356	87
4800	351	89
4900	338	87
5000	325	89
5100	321	90
5200	311	93
5300	294	98
5400	287	101
5500	282	102
5600	278	100
5700	279	95
5800	266	92
5900	255	95
6000	255	93
6100	252	92
6200	241	91
6300	233	91
6400	235	89
6500	230	84
6600	226	84
6700	218	83
6800	216	81
6900	218	76
7000	215	71
7100	215	67
7200	222	63
7300	216	60
7400	217	61
7500	219	62
7600	217	62
7700	221	61
7800	224	60
7900	221	56
8000	220	54
8100	216	52
8200	227	52
8300	238	53
8400	245	51
8500	249	50
8600	250	48
8700	250	43
8800	254	44
8900	254	44
9000	259	44
9100	263	43
9200	269	39
9300	272	38
9400	275	38
9500	276	37
9600	287	36
9700	286	35
9800	292	32
9900	290	32
10000	295	34
10100	294	35
10200	300	35
10300	310	36
10400	319	36
10500	318	34
10600	323	33
10700	326	36
10800	325	35
10900	328	32
11000	334	33
11100	334	36
11200	332	36
11300	330	35
11400	331	36
11500	328	37
11600	336	39
11700	339	40
11800	342	43
11900	345	42
12000	348	43
12100	356	44
12200	360	42
12300	367	42
12400	362	42
12500	366	44
12600	362	45
12700	367	45
12800	367	45
12900	371	44
13000	372	44
13100	357	46
13200	365	43
13300	364	43
13400	364	46
13500	369	45
13600	374	47
13700	374	47
13800	375	49
13900	373	50
14000	373	52
14100	369	55
14200	371	54
14300	367	55
14400	362	57
14500	358	54
14600	365	53
14700	362	56
14800	358	55
14900	364	55
15000	368	55
15100	363	57
15200	360	60
15300	353	60
15400	344	60
15500	332	64
15600	334	67
15700	328	68
15800	323	68
15900	320	68
16000	318	71
16100	316	72
16200	307	73
16300	301	74
16400	300	73
16500	307	73
16600	309	70
16700	308	70
16800	301	71
16900	299	72
17000	300	71
17100	298	71
17200	294	71
17300	294	72
17400	289	69
17500	286	69
17600	288	70
17700	282	73
17800	286	71
17900	281	70
18000	280	69
18100	270	70
18200	265	71
18300	260	72
18400	261	72
18500	267	70
18600	263	69
18700	263	68
18800	259	65
18900	253	67
19000	247	65
19100	255	63
19200	254	62
19300	254	60
19400	250	59
19500	248	59
19600	247	59
19700	249	59
19800	246	54
19900	250	52
20000	261	49
20100	265	49
20200	261	49
20300	272	48
20400	275	48
20500	276	45
20600	277	45
20700	273	44
20800	281	43
20900	283	43
21000	288	42
21100	280	48
21200	287	47
21300	289	47
21400	293	46
21500	292	47
21600	281	47
21700	284	47
21800	284	47
21900	287	47
22000	291	46
22100	290	47
22200	291	44
22300	297	44
22400	296	45
22500	296	46
22600	298	47
22700	303	47
22800	300	47
22900	308	47
23000	317	46
23100	318	47
23200	314	46
23300	315	46
23400	321	46
23500	319	48
23600	317	46
23700	317	47
23800	322	45
23900	317	46
24000	318	47
24100	320	44
24200	312	46
24300	318	49
24400	318	49
24500	324	47
24600	320	47
24700	321	48
24800	332	48
24900	331	48
25000	339	49
25100	336	49
25200	336	48
25300	336	48
25400	326	49
25500	334	47
25600	327	46
25700	331	45
25800	334	45
25900	340	44
26000	344	43
26100	334	44
26200	340	44
26300	341	45
26400	342	46
26500	338	50
26600	337	48
26700	343	49
26800	356	49
26900	354	50
27000	357	51
27100	347	52
27200	350	53
27300	349	57
27400	352	57
27500	357	56
27600	351	59
27700	351	58
27800	357	59
27900	352	59
28000	346	58
28100	337	60
28200	333	61
28300	326	62
28400	320	63
28500	310	62
28600	308	64
28700	304	65
28800	308	65
28900	303	64
29000	293	66
29100	294	63
29200	293	63
29300	295	61
29400	295	60
29500	288	60
29600	284	60
29700	290	59
29800	287	58
29900	280	57
30000	285	58
30100	274	60
30200	264	58
30300	259	62
30400	264	63
30500	265	62
30600	273	60
30700	281	59
30800	286	62
30900	283	58
31000	290	57
31100	288	58
31200	292	58
31300	280	59
31400	278	59
31500	283	59
31600	278	61
31700	273	62
31800	275	58
31900	276	58
32000	287	59
32100	294	58
32200	297	59
32300	296	58
32400	298	56
32500	292	57
32600	289	54
32700	291	55
32800	292	55
32900	291	51
33000	292	50
33100	291	51
33200	286	51
33300	290	52
33400	294	52
33500	295	53
33600	299	56
33700	292	56
33800	299	56
33900	305	56
34000	305	56
34100	298	55
34200	306	53
34300	298	52
34400	301	52
34500	304	54
34600	312	52
34700	313	50
34800	310	48
34900	315	48
35000	319	49
35100	323	49
35200	326	47
35300	323	47
35400	331	45
35500	325	45
35600	335	45
35700	333	45
35800	335	45
35900	335	45
36000	335	46
36100	327	46
36200	330	44
36300	335	44
36400	335	44
36500	338	45
36600	340	42
36700	347	43
36800	348	42
36900	338	44
37000	344	44
37100	344	42
37200	344	42
37300	338	42
37400	332	43
37500	329	46
37600	324	48
37700	333	47
37800	332	50
37900	337	50
38000	336	50
38100	330	50
38200	334	50
38300	331	50
38400	335	51
38500	336	48
38600	336	51
38700	329	52
38800	319	54
38900	318	55
39000	322	56
39100	325	56
39200	317	54
39300	321	54
39400	319	54
39500	319	53
39600	319	50
39700	323	49
39800	319	50
39900	323	51
40000	324	51
40100	327	47
40200	330	48
40300	327	51
40400	327	51
40500	330	49
40600	325	49
40700	323	51
40800	324	52
40900	322	54
41000	330	52
41100	324	53
41200	332	53
41300	332	52
41400	330	51
41500	332	50
41600	327	50
41700	322	53
41800	314	51
41900	304	51
42000	301	53
42100	307	54
42200	308	56
42300	310	57
42400	317	56
42500	319	56
42600	319	57
42700	320	54
42800	322	52
42900	322	53
43000	325	54
43100	323	56
43200	316	57
43300	314	53
43400	304	55
43500	298	56
43600	297	54
43700	292	56
43800	295	56
43900	292	57
44000	292	57
44100	290	57
44200	291	57
44300	290	52
44400	297	53
44500	303	51
44600	310	49
44700	313	49
44800	314	48
44900	314	47
45000	317	45
45100	319	43
45200	317	42
45300	315	42
45400	315	43
45500	317	43
45600	316	43
45700	309	45
45800	321	44
45900	320	45
46000	320	47
46100	314	49
46200	314	49
46300	311	50
46400	306	51
46500	307	52
46600	306	52
46700	298	54
46800	296	55
46900	296	55
47000	300	54
47100	291	59
47200	291	59
47300	286	63
47400	285	63
47500	282	64
47600	276	66
47700	275	66
47800	278	65
47900	267	65
48000	269	66
48100	271	64
48200	271	64
48300	264	61
48400	270	57
48500	270	59
48600	272	59
48700	272	59
48800	274	60
48900	284	59
49000	288	56
49100	279	61
49200	268	62
49300	264	64
49400	261	64
49500	266	64
49600	263	63
49700	267	62
49800	261	61
49900	258	60
50000	262	60
50100	269	59
50200	274	57
50300	267	56
50400	271	54
50500	268	54
50600	275	54
50700	279	51
50800	290	50
50900	287	47
51000	282	45
51100	284	43
51200	283	44
51300	290	43
51400	295	42
51500	310	43
51600	311	44
51700	310	43
51800	309	43
51900	311	42
52000	311	41
52100	315	39
52200	317	40
52300	314	41
52400	316	43
52500	320	45
52600	319	45
52700	317	45
52800	318	43
52900	322	45
53000	313	50
53100	315	50
53200	318	49
53300	319	48
53400	321	50
53500	323	50
53600	321	50
53700	323	48
53800	324	49
53900	320	50
54000	317	49
54100	315	47
54200	323	45
54300	338	46
54400	336	47
54500	342	46
54600	342	45
54700	336	47
54800	332	48
54900	340	47
55000	344	44
55100	352	43
55200	351	43
55300	352	48
55400	348	48
55500	348	48
55600	345	48
55700	341	50
55800	330	53
55900	331	54
56000	332	52
56100	323	53
56200	321	54
56300	334	54
56400	340	53
56500	348	53
56600	348	52
56700	343	54
56800	340	52
56900	345	54
57000	342	54
57100	344	56
57200	335	58
57300	333	61
57400	325	59
57500	318	61
57600	317	64
57700	312	66
57800	306	63
57900	306	63
58000	303	60
58100	305	61
58200	302	59
58300	308	60
58400	302	62
58500	301	62
58600	296	62
58700	303	60
58800	301	61
58900	302	59
59000	299	61
59100	299	60
59200	293	60
59300	292	58
59400	291	60
59500	284	60
59600	284	60
59700	275	59
59800	269	58
59900	270	57
60000	267	56
60100	260	57
60200	254	59
60300	252	59
60400	261	59
60500	270	59
60600	276	59
60700	273	59
60800	272	59
60900	266	61
61000	267	58
61100	268	58
61200	270	57
61300	271	58
61400	273	57
61500	281	57
61600	283	53
61700	290	53
61800	292	50
61900	304	48
62000	306	48
62100	303	49
62200	307	44
62300	310	42
62400	309	44
62500	313	42
62600	316	42
62700	315	42
62800	317	43
62900	311	43
63000	318	42
63100	328	40
63200	322	40
63300	323	40
63400	319	40
63500	324	43
63600	332	42
63700	338	41
63800	342	42
63900	339	46
64000	334	46
64100	331	47
64200	331	46
64300	332	47
64400	341	49
64500	342	50
64600	344	51
64700	345	50
64800	351	47
64900	351	48
65000	353	48
65100	358	50
65200	360	53
65300	348	52
65400	350	54
65500	340	55
65600	340	56
65700	340	58
65800	329	58
65900	328	58
66000	325	55
66100	328	55
66200	322	60
66300	326	61
66400	329	62
66500	327	67
66600	320	71
66700	316	73
66800	311	73
66900	309	77
67000	295	78
67100	289	80
67200	276	81
67300	271	77
67400	269	77
67500	264	80
67600	255	83
67700	252	81
67800	252	81
67900	241	81
68000	237	81
68100	234	78
68200	231	78
68300	233	75
68400	233	75
68500	242	70
68600	242	70
68700	235	69
68800	230	66
68900	236	66
69000	240	64
69100	243	63
69200	250	61
69300	251	61
69400	261	58
69500	261	52
69600	270	50
69700	270	48
69800	274	44
69900	280	44
70000	285	42
70100	296	40
70200	302	39
70300	300	39
70400	297	40
70500	300	40
70600	305	39
70700	312	36
70800	310	38
70900	311	35
71000	306	38
71100	311	38
71200	310	38
71300	305	38
71400	311	38
71500	314	39
71600	325	38
71700	330	38
71800	336	38
71900	339	40
72000	338	41
72100	339	42
72200	336	41
72300	338	42
72400	333	41
72500	337	42
72600	350	40
72700	358	39
72800	359	39
72900	360	39
73000	363	36
73100	370	36
73200	371	37
73300	364	41
73400	366	41
73500	368	39
73600	369	40
73700	371	44
73800	374	46
73900	370	47
74000	368	50
74100	366	49
74200	360	51
74300	355	51
74400	349	53
74500	350	52
74600	348	52
74700	352	54
74800	364	52
74900	363	53
75000	354	54
75100	353	52
75200	357	54
75300	352	55
75400	358	56
75500	360	57
75600	356	58
75700	355	60
75800	350	59
75900	349	58
76000	349	58
76100	351	58
76200	352	57
76300	344	56
76400	334	59
76500	330	60
76600	318	62
76700	321	60
76800	313	60
76900	307	65
77000	304	66
77100	304	67
77200	297	70
