Time	Food	Creatures
100	1178	50
200	1176	50
300	1175	52
400	1165	53
500	1170	53
600	1169	48
700	1164	49
800	1170	50
900	1171	52
1000	1182	53
1100	1186	44
1200	1196	45
1300	1193	46
1400	1205	45
1500	1198	47
1600	1199	43
1700	1211	43
1800	1210	44
1900	1210	42
2000	1210	40
2100	1227	37
2200	1232	37
2300	1240	36
2400	1248	36
2500	1253	37
2600	1262	36
2700	1264	36
2800	1263	37
2900	1270	35
3000	1281	34
3100	1292	31
3200	1298	31
3300	1305	31
3400	1314	28
3500	1313	28
3600	1315	28
3700	1324	28
3800	1327	29
3900	1336	28
4000	1344	26
4100	1352	25
4200	1355	26
4300	1362	25
4400	1371	25
4500	1383	25
4600	1381	26
4700	1378	28
4800	1380	28
4900	1388	27
5000	1385	27
5100	1389	28
5200	1397	30
5300	1398	30
5400	1396	32
5500	1402	31
5600	1418	31
5700	1423	33
5800	1429	33
5900	1432	32
6000	1429	36
6100	1435	36
6200	1433	36
6300	1436	35
6400	1440	34
6500	1444	34
6600	1455	34
6700	1462	34
6800	1470	33
6900	1470	33
7000	1473	34
7100	1480	34
7200	1486	33
7300	1494	34
7400	1507	35
7500	1520	35
7600	1526	34
7700	1536	36
7800	1543	34
7900	1552	33
8000	1564	33
8100	1567	33
8200	1569	33
8300	1569	35
8400	1576	33
8500	1584	33
8600	1590	34
8700	1593	35
8800	1599	33
8900	1600	31
9000	1601	31
9100	1613	31
9200	1614	31
9300	1615	33
9400	1610	34
9500	1610	32
9600	1611	33
9700	1606	36
9800	1605	36
9900	1602	38
10000	1606	40
10100	1604	43
10200	1597	47
10300	1606	46
10400	1604	47
10500	1600	48
10600	1600	51
10700	1598	54
10800	1604	53
10900	1597	54
11000	1600	54
11100	1604	53
11200	1603	56
11300	1599	57
11400	1597	60
11500	1599	64
11600	1588	66
11700	1571	67
11800	1567	68
11900	1553	71
12000	1556	75
12100	1538	80
12200	1528	81
12300	1520	84
12400	1518	84
12500	1510	84
12600	1508	81
12700	1502	80
12800	1500	82
12900	1504	85
13000	1506	84
13100	1498	82
13200	1490	80
13300	1487	79
13400	1484	80
13500	1488	78
13600	1483	82
13700	1485	81
13800	1484	76
13900	1482	72
14000	1473	75
14100	1472	74
14200	1472	75
14300	1455	80
14400	1445	83
14500	1441	78
14600	1430	80
14700	1427	80
14800	1405	84
14900	1395	85
15000	1397	87
15100	1385	92
15200	1369	90
15300	1347	95
15400	1336	99
15500	1323	98
15600	1314	99
15700	1312	100
15800	1301	98
15900	1288	99
16000	1266	101
16100	1256	103
16200	1251	102
16300	1233	102
16400	1218	99
16500	1209	98
16600	1194	99
16700	1184	102
16800	1178	105
16900	1165	108
17000	1136	112
17100	1126	114
17200	1124	113
17300	1122	111
17400	1112	110
17500	1100	111
17600	1075	110
17700	1064	111
17800	1042	116
17900	1037	122
18000	1024	115
18100	1022	113
18200	1008	115
18300	997	114
18400	985	115
18500	981	114
18600	974	114
18700	960	112
18800	951	114
18900	943	112
19000	939	109
19100	930	110
19200	932	104
19300	929	105
19400	920	98
19500	910	97
19600	910	93
19700	912	89
19800	912	81
19900	914	75
20000	914	74
20100	918	72
20200	912	70
20300	904	71
20400	899	73
20500	886	68
20600	881	69
20700	886	68
20800	884	69
20900	884	67
21000	887	64
21100	885	63
21200	880	63
21300	886	61
21400	885	57
21500	884	54
21600	884	55
21700	884	56
21800	891	55
21900	896	54
22000	896	51
22100	895	50
22200	890	50
22300	896	48
22400	889	48
22500	890	49
22600	898	50
22700	900	50
22800	903	48
22900	911	48
23000	918	47
23100	913	47
23200	914	48
23300	920	46
23400	923	45
23500	928	44
23600	944	42
23700	954	41
23800	955	41
23900	952	39
24000	954	40
24100	962	39
24200	961	38
24300	973	37
24400	975	38
24500	985	35
24600	987	33
24700	996	31
24800	1008	31
24900	1012	30
25000	1022	29
25100	1023	25
25200	1032	22
25300	1040	21
25400	1049	20
25500	1058	20
25600	1061	22
25700	1076	21
25800	1082	21
25900	1084	20
26000	1094	20
26100	1109	20
26200	1114	21
26300	1123	19
26400	1133	18
26500	1141	18
26600	1145	19
26700	1150	21
26800	1157	21
26900	1161	21
27000	1166	21
27100	1170	20
27200	1181	20
27300	1186	19
27400	1190	21
27500	1196	21
27600	1202	20
27700	1213	19
27800	1220	17
27900	1224	17
28000	1229	17
28100	1233	18
28200	1235	18
28300	1240	17
28400	1246	16
28500	1255	16
28600	1259	16
28700	1273	16
28800	1280	15
28900	1283	18
29000	1293	17
29100	1299	17
29200	1310	17
29300	1322	17
29400	1343	17
29500	1344	20
29600	1353	18
29700	1361	18
29800	1377	18
29900	1384	18
30000	1385	18
30100	1386	17
30200	1388	19
30300	1400	19
30400	1410	19
30500	1421	19
30600	1429	19
30700	1439	20
30800	1439	21
30900	1437	21
31000	1437	23
31100	1446	23
31200	1452	24
31300	1454	25
31400	1463	26
31500	1471	26
31600	1484	26
31700	1486	26
31800	1492	26
31900	1506	26
32000	1507	27
32100	1524	27
32200	1525	28
32300	1534	26
32400	1536	27
32500	1538	26
32600	1543	27
32700	1549	26
32800	1553	25
32900	1558	27
33000	1563	27
33100	1566	27
33200	1577	29
33300	1587	28
33400	1598	29
33500	1606	27
33600	1606	27
33700	1611	30
33800	1608	31
33900	1615	31
34000	1616	34
34100	1618	33
34200	1617	33
34300	1620	32
34400	1620	33
34500	1622	33
34600	1618	32
34700	1626	32
34800	1625	33
34900	1632	33
35000	1646	31
35100	1646	33
35200	1653	32
35300	1658	32
35400	1655	35
35500	1663	37
35600	1672	36
35700	1671	36
35800	1681	38
35900	1686	38
36000	1682	40
36100	1689	39
36200	1685	40
36300	1685	43
36400	1683	45
36500	1677	47
36600	1670	53
36700	1666	52
36800	1667	55
36900	1658	58
37000	1654	61
37100	1658	63
37200	1643	64
37300	1639	69
37400	1634	68
37500	1630	67
37600	1624	70
37700	1618	73
37800	1610	73
37900	1603	70
38000	1595	71
38100	1594	71
38200	1596	73
38300	1596	72
38400	1593	72
38500	1584	74
38600	1573	74
38700	1573	73
38800	1575	72
38900	1576	73
39000	1572	75
39100	1568	76
39200	1554	76
39300	1555	79
39400	1548	80
39500	1532	80
39600	1521	85
39700	1510	88
39800	1502	88
39900	1494	88
40000	1478	89
40100	1463	94
40200	1466	93
40300	1466	94
40400	1459	89
40500	1448	92
40600	1441	91
40700	1437	92
40800	1431	90
40900	1427	90
41000	1420	89
41100	1415	89
41200	1407	85
41300	1399	84
41400	1398	84
41500	1387	81
41600	1385	81
41700	1376	79
41800	1369	79
41900	1354	80
42000	1342	82
42100	1332	84
42200	1322	82
42300	1303	90
42400	1289	94
42500	1294	95
42600	1284	95
42700	1275	96
42800	1266	102
42900	1263	101
43000	1256	102
43100	1247	100
43200	1231	102
43300	1226	102
43400	1220	100
43500	1210	102
43600	1200	103
43700	1186	103
43800	1184	104
43900	1176	103
44000	1159	102
44100	1149	105
44200	1141	107
44300	1130	106
44400	1123	105
44500	1112	106
44600	1098	110
44700	1086	108
44800	1074	109
44900	1061	109
45000	1059	106
45100	1048	110
45200	1042	107
45300	1029	106
45400	1022	106
45500	1012	106
45600	1009	102
45700	1008	96
45800	1004	98
45900	989	100
46000	990	93
46100	986	91
46200	983	90
46300	978	87
46400	981	89
46500	977	88
46600	968	88
46700	959	87
46800	962	84
46900	963	82
47000	959	82
47100	955	79
47200	963	78
47300	958	72
47400	960	72
47500	960	71
47600	961	68
47700	966	67
47800	963	70
47900	970	66
48000	967	66
48100	972	63
48200	980	61
48300	973	58
48400	975	56
48500	973	56
48600	983	56
48700	990	56
48800	998	55
48900	996	55
49000	1002	52
49100	1004	50
49200	1004	48
49300	1005	47
49400	1011	45
49500	1015	46
49600	1022	42
49700	1035	38
49800	1042	37
49900	1049	37
50000	1050	36
50100	1055	35
50200	1055	34
50300	1058	34
50400	1057	36
50500	1062	36
50600	1065	37
50700	1067	37
50800	1075	37
50900	1081	37
51000	1082	37
51100	1086	37
51200	1095	37
51300	1103	37
51400	1105	33
51500	1110	34
51600	1117	36
51700	1125	37
51800	1124	34
51900	1126	33
52000	1130	31
52100	1135	29
52200	1140	29
52300	1144	30
52400	1147	32
52500	1161	33
52600	1172	30
52700	1170	29
52800	1176	29
52900	1179	30
53000	1180	32
53100	1193	31
53200	1201	33
53300	1214	31
53400	1219	29
53500	1223	29
53600	1226	31
53700	1236	30
53800	1241	31
53900	1238	30
54000	1239	28
54100	1250	27
54200	1258	27
54300	1261	27
54400	1269	27
54500	1277	27
54600	1289	27
54700	1303	28
54800	1309	29
54900	1310	28
55000	1318	28
55100	1327	28
55200	1334	26
55300	1338	26
55400	1346	27
55500	1354	28
55600	1359	28
55700	1365	30
55800	1366	32
55900	1365	31
56000	1364	34
56100	1360	37
56200	1363	36
56300	1367	37
56400	1365	37
56500	1377	37
56600	1386	37
56700	1388	36
56800	1389	37
56900	1394	38
57000	1400	39
57100	1402	40
57200	1409	39
57300	1400	40
57400	1402	40
57500	1405	41
57600	1402	40
57700	1397	42
57800	1400	45
57900	1395	44
58000	1396	44
58100	1397	44
58200	1387	46
58300	1401	46
58400	1403	46
58500	1412	48
58600	1413	49
58700	1421	48
58800	1422	48
58900	1426	45
59000	1425	45
59100	1430	45
59200	1427	44
59300	1430	42
59400	1434	41
59500	1438	40
59600	1445	41
59700	1457	39
59800	1467	36
59900	1476	34
60000	1481	34
60100	1487	35
60200	1494	35
60300	1498	34
60400	1499	33
60500	1499	31
