Time	Food	Creatures
100	204	10
200	209	10
300	215	10
400	225	11
500	234	11
600	236	7
700	242	7
800	248	7
900	258	8
1000	271	8
1100	278	6
1200	286	6
1300	293	7
1400	302	8
1500	318	9
1600	329	7
1700	338	7
1800	351	7
1900	360	4
2000	373	3
2100	386	4
2200	390	5
2300	409	5
2400	416	5
2500	427	5
2600	438	6
2700	444	6
2800	455	6
2900	472	6
3000	481	8
3100	486	9
3200	495	9
3300	501	7
3400	510	7
3500	531	7
3600	545	5
3700	561	5
3800	569	5
3900	578	6
4000	586	4
4100	596	5
4200	601	6
4300	606	8
4400	612	10
4500	622	11
4600	629	14
4700	631	19
4800	637	18
4900	642	19
5000	650	19
5100	647	22
5200	653	22
5300	655	23
5400	666	25
5500	668	26
5600	680	26
5700	687	34
5800	686	36
5900	679	42
6000	671	54
6100	663	60
6200	654	71
6300	637	86
6400	607	107
6500	571	123
6600	547	133
6700	494	163
6800	465	180
6900	425	201
7000	380	217
7100	326	230
7200	284	250
7300	265	242
7400	229	241
7500	212	233
7600	197	221
7700	190	198
7800	178	181
7900	163	170
8000	158	149
8100	158	126
8200	161	108
8300	151	102
8400	158	87
8500	166	74
8600	164	65
8700	179	55
8800	172	50
8900	177	51
9000	185	47
9100	182	45
9200	194	37
9300	198	35
9400	200	33
9500	200	27
9600	206	25
9700	214	26
9800	226	26
9900	234	25
10000	242	22
10100	258	23
10200	261	15
10300	265	11
10400	270	12
10500	274	10
10600	278	9
10700	290	9
10800	300	9
10900	306	10
11000	314	12
11100	322	11
11200	325	12
11300	332	15
11400	340	15
11500	343	15
11600	350	14
11700	362	16
11800	365	17
11900	375	20
12000	382	22
12100	394	23
12200	395	22
12300	399	22
12400	401	24
12500	404	26
12600	413	26
12700	420	30
12800	431	31
12900	433	30
13000	441	26
13100	445	31
13200	452	34
13300	453	33
13400	454	31
13500	460	35
13600	465	40
13700	471	40
13800	471	46
13900	475	50
14000	466	53
14100	463	54
14200	454	65
14300	456	71
14400	459	75
14500	450	81
14600	451	83
14700	448	89
14800	439	87
14900	428	85
15000	420	86
15100	407	94
15200	394	95
15300	373	100
15400	370	104
15500	361	110
15600	347	112
15700	334	112
15800	319	119
15900	297	127
16000	282	133
16100	268	131
16200	247	128
16300	230	133
16400	219	131
16500	212	124
16600	201	119
16700	198	109
16800	195	103
16900	194	93
17000	195	84
17100	192	83
17200	187	71
17300	192	63
17400	195	60
17500	193	55
17600	208	46
17700	213	43
17800	217	39
17900	215	42
18000	222	37
18100	218	37
18200	230	37
18300	239	34
18400	242	33
18500	239	31
18600	249	30
18700	256	28
18800	267	27
18900	272	26
19000	278	25
19100	280	27
19200	282	27
19300	293	27
19400	303	27
19500	311	27
19600	312	26
19700	318	27
19800	326	27
19900	331	27
20000	330	28
20100	339	33
20200	334	40
20300	330	42
20400	329	49
20500	327	51
20600	328	53
20700	316	62
20800	317	60
20900	309	66
21000	299	69
21100	303	69
21200	291	74
21300	288	72
21400	287	70
21500	281	67
21600	284	67
21700	285	67
21800	282	67
21900	289	70
22000	288	69
22100	280	72
22200	280	73
22300	286	71
22400	292	71
22500	284	69
22600	279	65
22700	284	61
22800	289	62
22900	288	59
23000	287	59
23100	278	59
23200	281	61
23300	275	64
23400	277	60
23500	274	60
23600	274	61
23700	273	59
23800	270	61
23900	274	55
24000	275	53
24100	281	52
24200	272	51
24300	280	51
24400	281	44
24500	289	44
24600	289	42
24700	293	44
24800	298	41
24900	301	42
25000	302	41
25100	318	39
25200	310	37
25300	313	36
25400	315	40
25500	320	40
25600	331	40
25700	336	39
25800	339	39
25900	336	37
26000	331	38
26100	338	38
26200	341	36
26300	344	38
26400	346	38
26500	346	39
26600	347	38
26700	347	40
26800	349	39
26900	351	40
27000	354	45
27100	354	45
27200	349	50
27300	346	55
27400	341	59
27500	343	57
27600	341	56
27700	335	57
27800	334	59
27900	328	62
28000	327	66
28100	326	67
28200	316	74
28300	302	75
28400	300	74
28500	294	77
28600	292	75
28700	289	75
28800	283	73
28900	272	77
29000	255	78
29100	248	84
29200	245	86
29300	237	86
29400	232	88
29500	232	85
29600	232	85
29700	223	83
29800	215	79
29900	214	74
30000	216	72
30100	210	68
30200	208	64
30300	216	54
30400	216	49
30500	217	48
30600	222	41
30700	230	36
30800	235	33
30900	251	30
31000	260	30
31100	266	23
31200	268	21
31300	274	21
31400	285	21
31500	296	18
31600	301	18
31700	309	18
31800	313	22
31900	321	26
32000	325	24
32100	334	23
32200	332	22
32300	343	21
32400	353	20
32500	360	16
32600	367	18
32700	372	19
32800	382	21
32900	388	16
33000	397	19
33100	404	21
33200	412	19
33300	413	19
33400	419	19
33500	419	18
33600	433	13
33700	440	16
33800	449	17
33900	448	23
34000	458	27
34100	472	28
34200	474	30
34300	472	35
34400	470	38
34500	476	40
34600	472	47
34700	465	56
34800	455	63
34900	444	72
35000	436	75
35100	429	79
35200	421	86
35300	410	92
35400	390	101
35500	383	104
35600	367	105
35700	345	109
35800	330	115
35900	316	121
36000	295	129
36100	266	140
36200	260	147
36300	241	149
36400	223	147
36500	216	144
36600	217	128
36700	206	117
36800	191	111
36900	183	102
37000	179	96
37100	188	86
37200	190	78
37300	188	75
37400	186	65
37500	186	62
37600	190	58
37700	196	53
37800	196	53
37900	202	46
38000	204	42
38100	210	32
38200	218	31
38300	225	32
38400	234	31
38500	237	30
38600	241	28
38700	248	26
38800	249	26
38900	253	21
39000	266	16
39100	274	16
39200	283	15
39300	295	18
39400	301	18
39500	305	19
39600	311	22
39700	318	19
39800	322	20
39900	326	20
40000	337	23
40100	349	20
40200	358	20
40300	356	29
40400	360	30
40500	365	26
40600	375	27
40700	385	31
