width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 6, speed: 0.2, type: Bloop
Time	Food	Creatures
0	312	50
100	317	52
200	312	58
300	308	66
400	301	71
500	304	74
600	312	58
700	310	59
800	318	60
900	317	56
1000	315	54
1100	310	55
1200	310	66
1300	310	64
1400	299	70
1500	300	72
1600	296	72
1700	291	69
1800	288	68
1900	288	68
2000	290	65
2100	283	65
2200	287	61
2300	280	66
2400	275	69
2500	269	71
2600	265	71
2700	265	71
2800	257	74
2900	252	74
3000	244	71
3100	242	69
3200	245	66
3300	247	64
3400	246	57
3500	244	58
3600	242	56
3700	246	51
3800	247	45
3900	264	42
4000	270	40
4100	274	40
4200	279	36
4300	284	35
4400	298	34
4500	309	32
4600	312	30
4700	315	30
4800	320	33
4900	326	34
5000	331	33
5100	329	31
5200	331	30
5300	341	29
5400	340	34
5500	346	33
5600	350	35
5700	353	39
5800	351	37
5900	344	39
6000	349	38
6100	354	40
6200	346	45
6300	343	46
6400	348	46
6500	345	50
6600	346	53
6700	338	65
6800	329	67
6900	331	68
7000	331	71
7100	332	71
7200	334	65
7300	334	60
7400	336	62
7500	337	57
7600	333	63
7700	337	60
7800	338	59
7900	335	58
8000	334	56
8100	338	57
8200	330	61
8300	333	58
8400	337	58
8500	343	54
8600	342	54
8700	342	51
8800	338	54
8900	343	52
9000	349	49
9100	347	49
9200	349	48
9300	347	47
9400	349	44
9500	348	44
9600	342	49
9700	347	48
9800	342	50
9900	343	45
10000	338	49
10100	334	54
10200	328	59
10300	327	63
10400	323	68
10500	321	66
10600	306	73
10700	298	73
10800	292	75
10900	287	77
11000	281	80
11100	276	74
11200	286	69
11300	284	67
11400	281	63
11500	282	56
11600	281	58
11700	279	58
11800	289	60
11900	288	55
12000	288	57
12100	294	51
12200	286	56
12300	291	55
12400	287	56
12500	285	56
12600	277	61
12700	280	61
12800	281	60
12900	288	58
13000	285	58
13100	288	61
13200	279	64
13300	273	66
13400	275	65
13500	269	63
13600	266	62
13700	275	60
13800	276	59
13900	279	56
14000	284	52
14100	287	53
14200	286	44
14300	284	44
14400	292	42
14500	287	42
14600	279	42
14700	282	40
14800	292	41
14900	299	43
15000	302	46
15100	298	44
15200	306	41
15300	305	42
15400	314	40
15500	323	34
15600	320	36
15700	322	37
15800	327	39
15900	321	47
16000	324	44
16100	329	41
16200	324	44
16300	322	46
16400	320	51
16500	315	49
16600	310	47
16700	317	49
16800	314	51
16900	310	54
17000	302	57
17100	296	65
17200	293	67
17300	286	66
17400	278	68
17500	274	73
17600	272	71
17700	272	68
17800	271	62
17900	274	64
18000	278	64
18100	281	62
18200	279	64
18300	275	62
18400	280	59
18500	283	58
18600	286	55
18700	286	53
18800	284	56
18900	289	54
19000	278	57
19100	269	62
19200	266	62
19300	264	66
19400	268	65
19500	265	66
19600	264	62
19700	268	62
19800	270	64
19900	285	56
20000	286	49
20100	287	47
20200	291	41
20300	290	40
20400	291	40
20500	294	39
