width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	MeanSize
0	312	50	9
100	314	53	9
200	313	60	8.916666666666666
300	314	63	8.920634920634921
400	309	68	8.926470588235293
500	305	75	8.933333333333334
600	297	66	8.924242424242424
700	299	69	8.898550724637682
800	308	70	8.871428571428572
900	303	73	8.917808219178083
1000	303	70	8.885714285714286
1100	297	65	8.876923076923077
1200	294	61	8.80327868852459
1300	287	66	8.696969696969697
1400	289	66	8.56060606060606
1500	290	63	8.507936507936508
1600	291	58	8.448275862068966
1700	298	53	8.471698113207546
1800	296	52	8.461538461538462
1900	299	49	8.489795918367347
2000	306	50	8.54
2100	313	48	8.625
2200	319	46	8.521739130434783
2300	323	49	8.428571428571429
2400	327	49	8.387755102040817
2500	330	46	8.41304347826087
2600	334	45	8.4
2700	330	44	8.25
2800	333	41	8.170731707317072
2900	336	34	8.147058823529411
3000	339	34	8.117647058823529
3100	342	38	8.18421052631579
3200	343	38	8.131578947368421
3300	349	36	8.055555555555555
3400	353	34	8.147058823529411
3500	358	36	8.222222222222221
3600	356	41	8.024390243902438
3700	359	43	8.046511627906977
3800	365	44	8.068181818181818
3900	369	47	8
4000	373	52	7.903846153846154
4100	375	47	7.872340425531915
4200	379	52	7.9423076923076925
4300	380	54	7.981481481481482
4400	383	55	8.054545454545455
4500	380	55	7.9818181818181815
4600	385	54	8.037037037037036
4700	385	56	8
4800	380	63	7.936507936507937
4900	376	64	7.796875
5000	367	68	7.838235294117647
5100	365	70	7.814285714285714
5200	367	72	7.819444444444445
5300	361	74	7.837837837837838
5400	351	79	7.886075949367089
5500	349	74	8.027027027027026
5600	343	72	8.069444444444445
5700	350	72	8.041666666666666
5800	348	72	8.041666666666666
5900	347	73	8.04109589041096
6000	337	77	8.116883116883116
6100	328	77	8.077922077922079
6200	317	75	7.946666666666666
6300	312	81	7.950617283950617
6400	307	82	7.963414634146342
6500	303	84	7.976190476190476
6600	299	81	7.938271604938271
6700	295	81	7.925925925925926
6800	288	85	7.776470588235294
6900	283	83	7.807228915662651
7000	276	80	7.7875
7100	268	83	7.771084337349397
7200	269	85	7.882352941176471
7300	269	84	8.035714285714286
7400	265	78	8.012820512820513
7500	256	74	8.067567567567568
7600	261	69	8.144927536231885
7700	266	62	8.112903225806452
7800	261	64	8.109375
7900	263	58	8.379310344827585
8000	270	62	8.419354838709678
8100	271	60	8.45
8200	282	54	8.555555555555555
8300	274	56	8.464285714285714
8400	277	50	8.4
8500	281	50	8.34
8600	274	51	8.313725490196079
8700	274	52	8.192307692307692
8800	278	47	8.319148936170214
8900	284	44	8.25
9000	292	42	8.285714285714286
9100	299	39	8.282051282051283
9200	301	41	8.365853658536585
9300	305	40	8.425
9400	310	42	8.30952380952381
9500	314	40	8.375
9600	318	40	8.4
9700	315	41	8.414634146341463
9800	320	38	8.447368421052632
9900	328	39	8.384615384615385
10000	328	41	8.414634146341463
10100	323	45	8.11111111111111
10200	332	44	7.931818181818182
10300	329	43	7.837209302325581
10400	330	39	7.897435897435898
10500	332	39	7.923076923076923
10600	335	41	7.902439024390244
10700	340	42	8.023809523809524
10800	353	44	8.136363636363637
10900	357	47	8.085106382978724
11000	358	48	7.770833333333333
11100	355	45	7.888888888888889
11200	350	45	7.911111111111111
11300	350	50	7.84
11400	349	51	7.784313725490196
11500	347	50	7.92
11600	342	54	7.777777777777778
11700	338	60	7.6
11800	342	62	7.596774193548387
11900	340	60	7.733333333333333
12000	337	62	7.693548387096774
12100	337	60	7.783333333333333
12200	336	63	7.682539682539683
12300	328	64	7.671875
12400	327	68	7.735294117647059
12500	321	73	7.671232876712328
12600	321	70	7.614285714285714
12700	322	70	7.6
12800	313	79	7.7594936708860756
12900	303	84	7.773809523809524
13000	298	81	7.790123456790123
13100	283	91	7.7032967032967035
13200	280	94	7.73404255319149
13300	276	94	7.829787234042553
13400	272	83	7.590361445783133
13500	273	81	7.592592592592593
13600	268	81	7.679012345679013
13700	268	70	7.771428571428571
13800	268	65	7.723076923076923
13900	271	61	7.590163934426229
14000	271	57	7.649122807017544
14100	267	55	7.636363636363637
14200	264	53	7.69811320754717
14300	265	55	7.836363636363636
14400	261	58	7.827586206896552
14500	268	54	8.037037037037036
14600	264	56	8.125
14700	264	56	8.178571428571429
14800	261	56	8.017857142857142
14900	257	55	7.9818181818181815
15000	269	49	8.081632653061224
15100	274	45	8.222222222222221
15200	278	43	8.209302325581396
15300	275	45	8.244444444444444
15400	279	44	8.272727272727273
15500	285	42	8.261904761904763
15600	303	37	8.432432432432432
15700	314	38	8.368421052631579
15800	318	34	8.176470588235293
15900	321	37	8.216216216216216
16000	330	35	8.285714285714286
16100	332	33	8.424242424242424
16200	336	30	8.4
16300	334	29	8.344827586206897
16400	334	32	8.3125
16500	339	35	8.2
16600	345	38	8
16700	357	37	7.972972972972973
16800	354	42	8.119047619047619
16900	357	45	8.088888888888889
17000	356	42	8.166666666666666
17100	366	45	8.2
17200	369	50	8.14
17300	365	53	8.264150943396226
17400	358	57	8.210526315789474
17500	359	55	8.072727272727272
17600	354	58	8.086206896551724
17700	350	59	8.033898305084746
17800	349	63	7.968253968253968
17900	354	65	7.938461538461539
18000	344	61	8
18100	335	63	7.9523809523809526
18200	326	65	8.03076923076923
18300	322	68	8.117647058823529
18400	337	64	8.1875
18500	333	62	8.306451612903226
18600	331	65	8.246153846153845
18700	330	62	8.209677419354838
18800	323	61	8.278688524590164
18900	318	60	8.2
19000	311	64	8.125
19100	307	63	8.015873015873016
19200	301	59	7.983050847457627
19300	299	64	7.90625
19400	295	63	7.7936507936507935
19500	290	61	7.770491803278689
19600	292	63	7.761904761904762
19700	289	64	7.71875
19800	294	61	7.737704918032787
19900	298	53	7.849056603773585
20000	296	51	7.784313725490196
20100	297	53	7.811320754716981
20200	292	58	7.689655172413793
20300	294	54	7.537037037037037
20400	303	56	7.428571428571429
20500	303	55	7.363636363636363
20600	294	57	7.2631578947368425
20700	297	52	7.211538461538462
20800	299	54	7.037037037037037
20900	303	54	7.074074074074074
21000	306	55	7.109090909090909
21100	313	50	7.12
21200	313	54	7.148148148148148
21300	316	54	7.2407407407407405
21400	320	44	7.386363636363637
21500	320	42	7.428571428571429
21600	329	41	7.414634146341464
21700	336	44	7.386363636363637
21800	333	38	7.184210526315789
21900	336	41	7.146341463414634
22000	324	52	7.096153846153846
22100	325	55	6.909090909090909
22200	321	56	6.785714285714286
22300	317	56	6.696428571428571
22400	321	57	6.684210526315789
22500	320	59	6.576271186440678
22600	316	56	6.642857142857143
22700	318	58	6.724137931034483
22800	321	56	6.803571428571429
22900	320	61	6.770491803278689
23000	320	59	6.745762711864407
23100	323	56	6.732142857142857
23200	318	54	6.796296296296297
23300	317	57	6.701754385964913
23400	319	53	6.6415094339622645
23500	317	54	6.7407407407407405
23600	317	55	6.7272727272727275
23700	317	62	6.774193548387097
23800	323	61	6.868852459016393
23900	323	53	6.90566037735849
24000	317	56	6.982142857142857
24100	317	53	7.113207547169812
24200	317	55	7.072727272727272
24300	315	54	7.185185185185185
24400	313	55	7.1454545454545455
24500	314	58	7.206896551724138
24600	313	57	7.2105263157894735
24700	314	58	7.241379310344827
24800	315	57	7.280701754385965
24900	320	57	7.280701754385965
25000	314	58	7.310344827586207
25100	317	51	7.313725490196078
25200	315	49	7.285714285714286
25300	318	51	7.470588235294118
25400	314	52	7.596153846153846
25500	322	50	7.58
25600	320	48	7.625
25700	322	45	7.733333333333333
25800	332	42	7.714285714285714
25900	332	41	7.536585365853658
26000	331	40	7.55
26100	329	42	7.5
26200	336	45	7.511111111111111
26300	327	50	7.2
26400	321	54	7.092592592592593
26500	318	55	7.036363636363636
26600	315	58	6.982758620689655
26700	313	61	6.950819672131147
26800	312	64	6.96875
26900	309	67	6.955223880597015
27000	307	68	6.985294117647059
27100	299	72	7.083333333333333
27200	294	72	7.125
27300	293	65	7.153846153846154
27400	296	59	7.1525423728813555
27500	297	58	7.068965517241379
27600	294	60	7.133333333333334
27700	293	50	7.02
27800	296	51	6.9411764705882355
27900	295	52	7.096153846153846
28000	301	53	7.188679245283019
28100	301	55	7.218181818181818
28200	307	49	7.26530612244898
28300	307	47	7.404255319148936
28400	311	49	7.489795918367347
28500	314	50	7.4
28600	323	47	7.48936170212766
28700	322	47	7.553191489361702
28800	319	43	7.72093023255814
28900	318	41	7.7317073170731705
29000	312	43	7.674418604651163
29100	318	42	7.619047619047619
29200	321	41	7.512195121951219
29300	328	45	7.555555555555555
29400	334	44	7.795454545454546
29500	331	43	7.790697674418604
29600	329	42	8.119047619047619
29700	330	43	8.116279069767442
29800	329	44	8.227272727272727
29900	335	44	8.227272727272727
30000	340	43	8.093023255813954
30100	343	37	8.216216216216216
30200	344	38	8.31578947368421
30300	342	41	8.292682926829269
30400	344	42	8.452380952380953
30500	348	42	8.428571428571429
30600	354	40	8.8
30700	356	42	8.738095238095237
30800	359	44	8.568181818181818
30900	361	44	8.545454545454545
31000	363	48	8.5625
31100	367	53	8.716981132075471
31200	357	55	8.781818181818181
31300	353	60	8.616666666666667
31400	350	59	8.915254237288135
31500	341	62	8.96774193548387
31600	339	63	8.777777777777779
31700	342	60	8.65
31800	340	61	8.80327868852459
31900	342	62	8.82258064516129
32000	334	64	8.859375
32100	334	65	8.723076923076922
32200	321	72	8.819444444444445
32300	316	77	8.831168831168831
32400	319	81	8.88888888888889
32500	318	83	8.891566265060241
32600	319	85	8.964705882352941
32700	312	84	8.916666666666666
32800	313	83	8.987951807228916
32900	305	82	8.963414634146341
33000	297	82	8.695121951219512
33100	286	85	8.811764705882354
33200	285	87	8.71264367816092
33300	282	85	8.635294117647058
33400	278	86	8.674418604651162
33500	275	81	8.716049382716049
33600	279	76	8.75
33700	280	68	8.647058823529411
33800	276	60	8.7
33900	279	61	8.62295081967213
34000	272	66	8.757575757575758
34100	272	58	8.758620689655173
34200	275	54	9.148148148148149
34300	279	56	9.107142857142858
34400	271	61	9.131147540983607
34500	274	60	9.25
34600	276	57	9.280701754385966
34700	283	50	9.32
34800	278	52	8.884615384615385
34900	283	54	8.666666666666666
35000	284	46	8.543478260869565
35100	295	45	8.4
35200	290	44	8
35300	294	43	8
35400	304	37	7.918918918918919
35500	311	35	7.714285714285714
35600	310	36	7.694444444444445
35700	311	39	7.871794871794871
35800	315	39	7.743589743589744
35900	323	37	7.675675675675675
