width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	MeanSize	MinSize	MaxSize
0	312	50	9	9	9
100	309	53	9	9	9
200	304	60	9.016666666666667	8	10
300	303	65	9	8	10
400	301	71	9.014084507042254	8	10
500	297	72	9	8	10
600	296	54	9	8	10
700	302	57	8.982456140350877	7	10
800	295	61	9	7	10
900	301	57	9.035087719298245	7	11
1000	299	56	9.053571428571429	7	11
1100	296	51	9.098039215686274	7	11
1200	289	58	9.068965517241379	6	11
1300	283	62	9.112903225806452	6	11
1400	288	57	9.105263157894736	6	11
1500	285	62	9.080645161290322	6	12
1600	279	58	9.017241379310345	6	12
1700	277	55	9.127272727272727	6	12
1800	283	49	9.020408163265307	6	12
1900	286	47	9.106382978723405	6	12
2000	288	50	9.08	6	12
2100	289	47	9.170212765957446	6	12
2200	297	46	9.326086956521738	6	12
2300	296	42	9.333333333333334	6	12
2400	301	39	9.307692307692308	6	12
2500	307	37	9.378378378378379	6	12
2600	312	35	9.4	6	12
2700	311	33	9.393939393939394	7	12
2800	310	35	9.4	7	12
2900	308	36	9.5	7	12
3000	304	42	9.476190476190476	7	12
3100	306	43	9.372093023255815	7	12
3200	308	42	9.333333333333334	7	12
3300	309	40	9.375	7	12
3400	310	45	9.511111111111111	7	12
3500	311	40	9.45	7	12
3600	316	38	9.473684210526315	8	12
3700	312	41	9.463414634146341	8	12
3800	317	46	9.521739130434783	8	12
3900	314	46	9.630434782608695	8	12
4000	315	47	9.638297872340425	8	13
4100	310	45	9.644444444444444	8	13
4200	320	43	9.674418604651162	8	13
4300	320	45	9.688888888888888	8	13
4400	316	43	9.813953488372093	8	13
4500	314	42	9.928571428571429	8	13
4600	314	39	9.717948717948717	8	13
4700	311	42	9.785714285714286	7	13
4800	303	52	10.173076923076923	7	14
4900	303	54	10.333333333333334	7	14
5000	302	54	10.351851851851851	7	14
5100	301	56	10.410714285714286	7	14
5200	299	56	10.482142857142858	7	14
5300	308	48	10.5	7	14
5400	309	47	10.46808510638298	7	14
5500	314	44	10.545454545454545	7	14
5600	319	41	10.609756097560975	7	14
5700	313	42	10.857142857142858	8	15
5800	309	43	11.232558139534884	8	15
5900	313	50	11.22	8	15
6000	312	53	11.30188679245283	8	15
6100	304	60	11.366666666666667	8	15
6200	298	66	11.333333333333334	8	15
6300	304	64	11.296875	8	15
6400	302	63	11.317460317460318	8	15
6500	302	68	11.308823529411764	8	15
6600	297	71	11.169014084507042	8	15
6700	302	68	11.323529411764707	8	15
6800	300	63	11.285714285714286	8	14
6900	295	57	11.280701754385966	8	14
7000	288	68	11.352941176470589	8	14
7100	275	75	11.586666666666666	8	15
7200	270	80	11.6125	8	15
7300	267	76	11.473684210526315	8	15
7400	270	78	11.461538461538462	8	15
7500	265	76	11.276315789473685	7	15
7600	264	68	11.279411764705882	7	15
7700	257	71	11.140845070422536	7	15
7800	263	67	11.104477611940299	7	15
7900	268	66	11.212121212121213	7	16
8000	263	64	11.328125	7	16
8100	264	63	11.301587301587302	7	16
8200	262	60	11.316666666666666	7	16
8300	268	57	11.508771929824562	8	16
8400	254	63	11.555555555555555	8	16
8500	258	61	11.426229508196721	8	15
8600	253	59	11.338983050847459	8	15
8700	252	57	11.24561403508772	8	15
8800	254	58	11.241379310344827	8	15
8900	259	56	11.214285714285714	8	15
9000	262	53	10.943396226415095	8	14
9100	263	48	11.104166666666666	8	14
9200	261	50	10.98	8	14
9300	256	51	11.098039215686274	8	15
9400	257	52	11.096153846153847	8	15
9500	251	56	11.071428571428571	8	16
9600	250	57	11.24561403508772	8	16
9700	243	59	11.305084745762711	8	16
9800	251	57	11.43859649122807	8	16
9900	250	57	11.491228070175438	8	16
10000	240	61	11.737704918032787	8	17
10100	244	60	11.683333333333334	8	17
10200	248	57	11.807017543859649	8	17
10300	247	59	11.864406779661017	8	17
10400	244	61	11.901639344262295	8	17
10500	246	59	12.05084745762712	8	17
10600	253	55	12.036363636363637	8	17
10700	251	55	12.145454545454545	8	17
10800	246	64	12.046875	8	17
10900	255	62	12.096774193548388	9	17
11000	251	59	12.220338983050848	9	17
11100	256	52	11.903846153846153	8	17
11200	262	55	11.909090909090908	8	17
11300	271	47	11.829787234042554	8	17
11400	271	44	11.568181818181818	8	16
11500	263	43	11.534883720930232	8	16
11600	261	45	11.666666666666666	8	16
11700	265	48	11.6875	8	16
11800	267	45	11.88888888888889	9	16
11900	272	42	11.904761904761905	9	16
12000	270	44	12	9	16
12100	278	46	12.021739130434783	8	16
12200	284	42	12	8	16
12300	285	43	11.790697674418604	8	16
12400	283	40	11.95	8	16
12500	280	43	12.372093023255815	8	16
12600	284	41	12.512195121951219	8	16
12700	285	43	12.790697674418604	8	16
12800	291	42	12.833333333333334	8	16
12900	297	43	13.023255813953488	8	16
13000	310	39	12.820512820512821	8	16
13100	306	44	12.613636363636363	8	16
13200	312	41	12.414634146341463	8	16
13300	320	41	12.585365853658537	8	16
13400	317	43	12.720930232558139	8	16
13500	315	49	12.857142857142858	8	16
13600	312	53	13	8	16
13700	314	56	13.107142857142858	8	16
13800	315	58	12.948275862068966	8	16
13900	314	61	12.918032786885245	8	16
14000	312	56	12.785714285714286	8	16
