width: 600; height: 400
initialCount: 300, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop3
Time	Food	Creatures	MeanSize	MinSize	MaxSize
0	300	50	53.04	2	99
100	283	55	52.72727272727273	2	99
200	274	64	49.078125	2	99
300	267	75	48.346666666666664	2	99
400	254	92	48.641304347826086	2	99
500	240	103	47.0873786407767	2	99
600	214	114	44.05263157894737	2	98
700	194	129	43.81395348837209	2	98
800	166	144	44.291666666666664	2	98
900	138	155	43.561290322580646	2	98
1000	104	168	42.06547619047619	2	98
1100	93	173	41.50867052023121	2	92
1200	79	172	41.55813953488372	2	92
1300	69	170	39.917647058823526	2	92
1400	64	163	39.533742331288344	3	91
1500	58	148	38.9527027027027	3	91
1600	59	130	38.215384615384615	3	91
1700	58	107	37.700934579439256	3	91
1800	63	89	36.1123595505618	3	91
1900	67	74	35.972972972972975	4	91
2000	67	57	37	4	91
2100	69	57	35.666666666666664	4	91
2200	74	54	34.7962962962963	4	91
2300	71	58	37.36206896551724	4	91
2400	79	50	38	4	76
2500	81	46	36.78260869565217	4	76
2600	85	46	37.130434782608695	4	76
2700	91	42	37.07142857142857	4	76
2800	95	35	36.714285714285715	4	76
2900	100	35	35.857142857142854	4	76
3000	103	32	31.1875	4	54
3100	101	34	32.14705882352941	4	54
3200	107	36	30.944444444444443	4	54
3300	110	39	31.384615384615383	13	54
3400	117	38	32.421052631578945	13	55
3500	115	37	33.351351351351354	13	55
3600	122	35	34.285714285714285	12	55
3700	127	37	33.08108108108108	12	55
3800	138	34	33.73529411764706	12	55
3900	134	41	31.341463414634145	12	55
4000	133	46	30.52173913043478	12	55
4100	133	46	30.02173913043478	12	55
4200	133	47	29.46808510638298	11	55
4300	136	46	28.73913043478261	11	55
4400	135	48	28.770833333333332	11	55
4500	142	52	29.307692307692307	11	56
4600	147	50	28.66	11	57
4700	144	52	29.346153846153847	11	57
4800	144	53	29.37735849056604	11	57
4900	145	53	31.07547169811321	11	57
5000	137	56	30.821428571428573	11	57
5100	139	58	30.70689655172414	11	56
5200	131	68	31.58823529411765	11	56
5300	130	71	31.816901408450704	12	56
5400	120	73	31.506849315068493	12	56
5500	117	81	31.765432098765434	12	56
5600	121	77	32.87012987012987	12	56
5700	118	76	33.8421052631579	12	56
5800	119	70	33.714285714285715	12	56
5900	107	75	33.78666666666667	12	56
6000	115	68	35	12	56
6100	111	72	34.666666666666664	12	56
6200	110	67	33.791044776119406	12	56
6300	110	66	33.09090909090909	12	56
6400	113	60	33.13333333333333	12	56
6500	107	56	33.642857142857146	12	56
6600	102	60	32.75	12	56
6700	100	51	33.84313725490196	12	56
6800	104	52	33.32692307692308	12	56
6900	104	53	32.45283018867924	12	56
7000	113	54	33.31481481481482	12	56
7100	120	51	33.27450980392157	12	56
7200	123	49	33.285714285714285	12	56
7300	114	46	33.08695652173913	12	56
7400	116	46	33.391304347826086	12	56
7500	113	50	34.12	12	57
7600	117	53	33.905660377358494	12	57
7700	122	56	34.80357142857143	12	57
7800	124	59	33.66101694915254	12	57
7900	125	55	33.43636363636364	12	57
8000	128	55	32.72727272727273	12	57
8100	127	53	32.58490566037736	12	56
8200	133	48	33.458333333333336	12	56
8300	131	51	33.529411764705884	12	56
8400	135	49	33.673469387755105	12	56
8500	130	48	32.979166666666664	12	56
8600	135	49	31.632653061224488	12	44
8700	137	49	31.06122448979592	12	44
8800	133	57	31.56140350877193	12	44
8900	128	62	31.79032258064516	12	46
9000	137	56	32.80357142857143	12	46
9100	124	65	33.84615384615385	14	46
9200	128	61	33.90163934426229	13	46
9300	122	67	34.208955223880594	13	46
9400	115	68	34.98529411764706	13	46
